optimum
2500
iteration,score,rawScore,overlap
0, 67632, 25896, 226
1, 71454, 33048, 173
2, 30932, 30044, 4
3, 40176, 31296, 40
4, 24300, 24300, 0
5, 33146, 32480, 3
6, 34228, 34228, 0
7, 34193, 33971, 1
8, 70896, 33600, 168
9, 29751, 29751, 0
10, 62128, 39928, 100
11, 37664, 37664, 0
12, 33357, 32913, 2
13, 41182, 20536, 93
14, 36090, 28320, 35
15, 28058, 25172, 13
16, 34842, 30846, 18
17, 43626, 11880, 143
18, 51330, 30240, 95
19, 28819, 28819, 0
20, 35319, 30879, 20
21, 46296, 28980, 78
22, 40588, 25270, 69
23, 27873, 27873, 0
24, 37496, 37496, 0
25, 26517, 24963, 7
26, 25012, 25012, 0
27, 58011, 22935, 158
28, 41004, 27018, 63
29, 34919, 34475, 2
30, 55098, 18912, 163
31, 52230, 25368, 121
32, 36200, 36200, 0
33, 29646, 28980, 3
34, 59136, 17400, 335
35, 62523, 36993, 115
36, 24473, 23807, 3
37, 59169, 17433, 284
38, 42684, 19152, 106
39, 64737, 23001, 293
40, 27630, 26520, 5
41, 30798, 30576, 1
42, 30618, 30618, 0
43, 29356, 26026, 15
44, 34798, 32578, 10
45, 63048, 35520, 124
46, 67546, 25810, 287
47, 23634, 23634, 0
48, 47026, 31486, 70
49, 37347, 37347, 0
50, 33552, 31110, 11
51, 36695, 36695, 0
52, 32007, 26235, 26
53, 22352, 22352, 0
54, 35870, 35870, 0
55, 35423, 33425, 9
56, 59100, 17808, 186
57, 31916, 31916, 0
58, 41942, 23738, 82
59, 21061, 19285, 8
60, 29463, 29463, 0
61, 68632, 26896, 292
62, 43893, 31017, 58
63, 54609, 35739, 85
64, 30108, 30108, 0
65, 60986, 29684, 141
66, 29440, 29440, 0
67, 45656, 34556, 50
68, 31524, 31524, 0
69, 20158, 17272, 13
70, 25509, 19737, 26
71, 27383, 27383, 0
72, 36335, 36335, 0
73, 69736, 28000, 200
74, 70038, 28302, 209
75, 54558, 31248, 105
76, 24645, 24645, 0
77, 21027, 20139, 4
78, 36673, 36673, 0
79, 65694, 23958, 231
80, 48606, 25296, 105
81, 28028, 28028, 0
82, 32494, 32494, 0
83, 74678, 32942, 249
84, 64536, 22800, 229
85, 47521, 22657, 112
86, 56331, 30135, 118
87, 24174, 24174, 0
88, 26526, 26082, 2
89, 37380, 37380, 0
90, 24180, 24180, 0
91, 39596, 31160, 38
92, 31126, 31126, 0
93, 32480, 32480, 0
94, 72408, 30672, 215
95, 63063, 36423, 120
96, 69624, 27888, 214
97, 35100, 23556, 52
98, 47647, 35659, 54
99, 25403, 25403, 0
100, 35269, 34825, 2
101, 50452, 24034, 119
102, 71462, 29726, 365
103, 30576, 30576, 0
104, 19998, 19998, 0
105, 22548, 21216, 6
106, 26526, 26082, 2
107, 30624, 15972, 66
108, 37840, 37840, 0
109, 30728, 30728, 0
110, 59562, 28482, 140
111, 39606, 28728, 49
112, 39387, 32283, 32
113, 28704, 28704, 0
114, 29600, 29600, 0
115, 30288, 29400, 4
116, 31980, 31980, 0
117, 43529, 29987, 61
118, 45825, 26733, 86
119, 32678, 22244, 47
120, 31365, 30033, 6
121, 41313, 27105, 64
122, 39338, 39338, 0
123, 45510, 28860, 75
124, 55169, 24311, 139
125, 51324, 24462, 121
126, 57938, 23528, 155
127, 29340, 29340, 0
128, 66612, 33756, 148
129, 36659, 18011, 84
130, 53326, 32680, 93
131, 40418, 36200, 19
132, 54536, 34556, 90
133, 31626, 29406, 10
134, 24872, 24206, 3
135, 60831, 29751, 140
136, 43230, 18144, 113
137, 25524, 21750, 17
138, 31578, 28470, 14
139, 48596, 37496, 50
140, 21736, 21736, 0
141, 40062, 17640, 101
142, 45627, 18765, 121
143, 53634, 28992, 111
144, 67546, 25810, 287
145, 28575, 21027, 34
146, 61434, 19698, 228
147, 23451, 20787, 12
148, 32737, 23635, 41
149, 35263, 35263, 0
150, 25012, 25012, 0
151, 31450, 31228, 1
152, 37380, 37380, 0
153, 55436, 24800, 138
154, 39000, 33228, 26
155, 38690, 34694, 18
156, 26000, 26000, 0
157, 43927, 36157, 35
158, 58660, 26026, 147
159, 26748, 26082, 3
160, 36335, 36335, 0
161, 29463, 29463, 0
162, 40056, 23184, 76
163, 23745, 23079, 3
164, 31950, 31950, 0
165, 25920, 25920, 0
166, 38121, 25245, 58
167, 32942, 32942, 0
168, 33631, 33631, 0
169, 39334, 20020, 87
170, 47673, 38127, 43
171, 33357, 32913, 2
172, 62250, 39162, 104
173, 39242, 34580, 21
174, 63837, 22101, 222
175, 23020, 22576, 2
176, 60063, 18327, 237
177, 27695, 27029, 3
178, 30882, 28884, 9
179, 41530, 22660, 85
180, 21177, 21177, 0
181, 37583, 34475, 14
182, 37014, 27690, 42
183, 37001, 26123, 49
184, 29484, 29484, 0
185, 27161, 27161, 0
186, 29768, 27548, 10
187, 47692, 31486, 73
188, 38829, 32835, 27
189, 60768, 19032, 200
190, 56420, 18236, 172
191, 38967, 22317, 75
192, 31904, 29684, 10
193, 33306, 25536, 35
194, 21891, 20115, 8
195, 47660, 17024, 138
196, 32190, 31968, 1
197, 39034, 31486, 34
198, 45510, 29748, 71
199, 45510, 28860, 75
200, 31450, 31228, 1
201, 25169, 23393, 8
202, 30672, 30672, 0
203, 31768, 29992, 8
204, 39338, 39338, 0
205, 23409, 23187, 1
206, 31200, 31200, 0
207, 43584, 31374, 55
208, 55302, 24000, 141
209, 31778, 26228, 25
210, 60074, 19448, 183
211, 53791, 30481, 105
212, 32214, 32214, 0
213, 30606, 28386, 10
214, 21024, 21024, 0
215, 29250, 27918, 6
216, 50075, 26543, 106
217, 28480, 28036, 2
218, 26082, 26082, 0
219, 29536, 29536, 0
220, 49397, 24311, 113
221, 30939, 29607, 6
222, 22548, 21216, 6
223, 51437, 25019, 119
224, 35826, 30942, 22
225, 57584, 32942, 111
226, 39441, 19239, 91
227, 34600, 34600, 0
228, 34164, 32832, 6
229, 27695, 27029, 3
230, 42464, 34694, 35
231, 26271, 26271, 0
232, 31390, 26062, 24
233, 38496, 34278, 19
234, 54842, 24650, 136
235, 25090, 25090, 0
236, 32820, 28380, 20
237, 54928, 13192, 195
238, 24210, 20880, 15
239, 25920, 25920, 0
240, 29340, 29340, 0
241, 48420, 32214, 73
242, 33253, 30589, 12
243, 35192, 35192, 0
244, 33901, 33901, 0
245, 36582, 36582, 0
246, 50808, 14400, 164
247, 39324, 35328, 18
248, 33540, 33540, 0
249, 40418, 36200, 19
250, 22400, 22400, 0
251, 57308, 22454, 157
252, 32111, 32111, 0
253, 25524, 21750, 17
254, 21061, 19285, 8
255, 29256, 29256, 0
256, 33480, 33480, 0
257, 33744, 25752, 36
258, 33378, 28050, 24
259, 26687, 26243, 2
260, 31578, 28914, 12
261, 31452, 29232, 10
262, 39242, 34580, 21
263, 24472, 24472, 0
264, 56716, 25192, 142
265, 22176, 22176, 0
266, 27923, 20375, 34
267, 22352, 22352, 0
268, 36016, 26026, 45
269, 28998, 28998, 0
