optimum
2500
iteration,score,rawScore,overlap
0, 70603, 43618, 105
1, 50490, 50490, 0
2, 48115, 37835, 40
3, 68866, 43680, 98
4, 49164, 49164, 0
5, 53860, 48720, 20
6, 43240, 41184, 8
7, 50774, 42550, 32
8, 82599, 51759, 120
9, 53842, 47674, 24
10, 42630, 42630, 0
11, 53004, 47864, 20
12, 47772, 43660, 16
13, 64722, 49302, 60
14, 56766, 45201, 45
15, 73781, 37030, 143
16, 48750, 48750, 0
17, 58922, 48642, 40
18, 52024, 45342, 26
19, 59630, 49350, 40
20, 52084, 38720, 52
21, 71410, 50336, 82
22, 41730, 41730, 0
23, 55702, 44908, 42
24, 61255, 47120, 55
25, 63700, 46995, 65
26, 89747, 44772, 175
27, 55404, 43068, 48
28, 48645, 48645, 0
29, 41479, 40194, 5
30, 39195, 39195, 0
31, 68849, 41607, 106
32, 54413, 43362, 43
33, 55006, 49352, 22
34, 76480, 43584, 128
35, 46324, 44268, 8
36, 44160, 44160, 0
37, 52275, 52275, 0
38, 69018, 43318, 100
39, 99691, 44693, 214
40, 43888, 43888, 0
41, 62310, 51516, 42
42, 63018, 41944, 82
43, 43456, 43456, 0
44, 54277, 38600, 61
45, 66808, 45220, 84
46, 49218, 46648, 10
47, 94128, 39130, 217
48, 49508, 45396, 16
49, 55843, 50960, 19
50, 87612, 39039, 189
51, 53912, 46716, 28
52, 57983, 49245, 34
53, 43518, 41976, 6
54, 51000, 51000, 0
55, 58855, 44720, 55
56, 59668, 45790, 54
57, 52416, 40080, 48
58, 48204, 46662, 6
59, 52620, 46452, 24
60, 58977, 48954, 39
61, 45426, 45426, 0
62, 48256, 48256, 0
63, 63478, 49600, 54
64, 52576, 52576, 0
65, 48548, 46492, 8
66, 80758, 38610, 164
67, 79251, 47897, 122
68, 69132, 44460, 96
69, 68431, 47871, 80
70, 58334, 45741, 49
71, 42470, 39900, 10
72, 50996, 50996, 0
73, 91762, 50128, 162
74, 49350, 49350, 0
75, 75100, 46830, 110
76, 65148, 52041, 51
77, 58572, 43152, 60
78, 45747, 45747, 0
79, 70962, 49374, 84
80, 70950, 44736, 102
81, 51486, 44290, 28
82, 63826, 40182, 92
83, 55615, 41480, 55
84, 37124, 36096, 4
85, 73150, 50020, 90
86, 54596, 51255, 13
87, 66203, 42816, 91
88, 61044, 48708, 48
89, 50207, 47637, 10
90, 46288, 41148, 20
91, 55894, 42016, 54
92, 52694, 48068, 18
93, 41094, 39552, 6
94, 48780, 45696, 12
95, 67870, 48852, 74
96, 52275, 52275, 0
97, 69111, 52920, 63
98, 50736, 47652, 12
99, 62644, 51336, 44
100, 43617, 43617, 0
101, 49560, 49560, 0
102, 57885, 38610, 75
103, 53133, 48250, 19
104, 48820, 43680, 20
105, 52595, 50796, 7
106, 47443, 47443, 0
107, 50904, 50904, 0
108, 89818, 46899, 167
109, 61808, 50500, 44
110, 62006, 48642, 52
111, 56949, 37674, 75
112, 61325, 47190, 55
113, 54092, 49980, 16
114, 66845, 41145, 100
115, 75163, 52290, 89
116, 59630, 49350, 40
117, 104348, 49350, 296
118, 57647, 48138, 37
119, 93463, 50544, 167
120, 52641, 46216, 25
121, 58373, 47322, 43
122, 58069, 47532, 41
123, 50835, 42354, 33
124, 40608, 40608, 0
125, 41653, 35485, 24
126, 68520, 49245, 75
127, 54713, 49059, 22
128, 50646, 48076, 10
129, 62434, 48556, 54
130, 90098, 48464, 162
131, 57917, 47637, 40
132, 43456, 43456, 0
133, 42630, 42630, 0
134, 59668, 45790, 54
135, 48698, 42016, 26
136, 47874, 47874, 0
137, 43088, 38976, 16
138, 71347, 43848, 107
139, 55920, 45126, 42
140, 56611, 45046, 45
141, 53949, 50094, 15
142, 54001, 48090, 23
143, 60282, 51030, 36
144, 57450, 47941, 37
145, 52290, 52290, 0
146, 86880, 51414, 138
147, 59273, 49250, 39
148, 53278, 39400, 54
149, 66422, 51516, 58
150, 36960, 36960, 0
151, 46926, 46926, 0
152, 58458, 52290, 24
153, 43415, 42387, 4
154, 54632, 52576, 8
155, 62644, 51336, 44
156, 49625, 43200, 25
157, 80664, 41600, 152
158, 65131, 50996, 55
159, 75771, 44160, 123
160, 58802, 48265, 41
161, 61888, 45954, 62
162, 57062, 45240, 46
163, 68052, 43380, 96
164, 51683, 50141, 6
165, 48567, 47025, 6
166, 59445, 45567, 54
167, 41094, 39552, 6
168, 42898, 42898, 0
169, 52188, 46020, 24
170, 50490, 50490, 0
171, 65618, 44030, 84
172, 96171, 41944, 211
173, 52980, 45784, 28
174, 90437, 47775, 166
175, 86296, 39008, 184
176, 61485, 51205, 40
177, 53510, 51968, 6
178, 46492, 46492, 0
179, 45871, 42016, 15
180, 53827, 47916, 23
181, 48468, 42300, 24
182, 48204, 48204, 0
183, 74505, 46492, 109
184, 49163, 49163, 0
185, 42906, 36738, 24
186, 58404, 48124, 40
187, 66065, 40365, 100
188, 55156, 43848, 44
189, 51654, 50369, 5
190, 52614, 43362, 36
191, 43365, 43365, 0
192, 45297, 39900, 21
193, 64651, 47432, 67
194, 39665, 37352, 9
195, 42315, 42315, 0
196, 56019, 52164, 15
197, 43744, 42716, 4
198, 55778, 43956, 46
199, 63093, 50500, 49
200, 49288, 49288, 0
201, 77484, 43560, 132
202, 46666, 44096, 10
203, 46926, 46926, 0
204, 59630, 49350, 40
205, 47697, 37674, 39
206, 43200, 43200, 0
207, 44122, 37440, 26
208, 46955, 45156, 7
209, 45938, 39770, 24
210, 42336, 42336, 0
211, 65493, 46989, 72
212, 41952, 39639, 9
213, 100886, 45888, 244
214, 72757, 50141, 88
215, 62725, 48076, 57
216, 50646, 48076, 10
217, 47234, 47234, 0
218, 49820, 49820, 0
219, 54602, 50490, 16
220, 61388, 48024, 52
221, 43456, 43456, 0
222, 43120, 43120, 0
223, 40854, 39312, 6
224, 50137, 39600, 41
225, 37508, 36480, 4
226, 49934, 45308, 18
227, 90133, 50298, 155
228, 42486, 42486, 0
229, 52362, 48250, 16
230, 43365, 43365, 0
231, 42898, 42898, 0
232, 52120, 50578, 6
233, 56471, 45934, 41
234, 61422, 49086, 48
235, 70828, 50268, 80
236, 50490, 50490, 0
237, 53081, 45628, 29
238, 69500, 50996, 72
239, 45104, 40992, 16
240, 48640, 48640, 0
241, 47670, 39960, 30
242, 52476, 40140, 48
243, 52128, 49044, 12
244, 52893, 43384, 37
245, 37316, 36288, 4
246, 41653, 35485, 24
247, 42924, 42924, 0
248, 76205, 48192, 109
249, 46816, 46816, 0
250, 61999, 37584, 95
251, 53166, 37746, 60
252, 51456, 51456, 0
253, 58197, 47403, 42
254, 48522, 39270, 36
255, 72588, 47916, 96
256, 67100, 41400, 100
257, 45058, 44544, 2
258, 56900, 52788, 16
259, 47803, 46004, 7
260, 49842, 49842, 0
261, 47923, 45353, 10
262, 61694, 51414, 40
263, 63880, 51030, 50
264, 60487, 47637, 50
265, 62695, 38280, 95
266, 61529, 48165, 52
267, 54333, 52020, 9
268, 73601, 48158, 99
269, 37149, 32266, 19
270, 68625, 42411, 102
271, 50787, 50787, 0
272, 60982, 41193, 77
273, 53325, 47671, 22
274, 49789, 42593, 28
275, 86803, 44655, 164
276, 48548, 47520, 4
277, 53549, 51750, 7
278, 95265, 50547, 174
279, 59746, 49980, 38
280, 40334, 38021, 9
281, 52062, 43581, 33
282, 57251, 42602, 57
283, 50097, 42387, 30
284, 42219, 40934, 5
285, 53569, 49200, 17
286, 53234, 41412, 46
287, 55234, 42898, 48
