x,y,index
8, 28, 5
6, 29, 5
7, 29, 5
8, 29, 5
9, 29, 5
10, 29, 5
11, 29, 5
5, 30, 5
6, 30, 5
7, 30, 5
8, 30, 5
9, 30, 5
10, 30, 5
11, 30, 5
12, 30, 5
13, 30, 5
14, 30, 5
4, 31, 5
5, 31, 5
6, 31, 5
7, 31, 5
8, 31, 5
9, 31, 5
10, 31, 5
11, 31, 5
12, 31, 5
13, 31, 5
14, 31, 5
15, 31, 5
16, 31, 5
3, 32, 5
4, 32, 5
5, 32, 5
6, 32, 5
7, 32, 5
8, 32, 5
9, 32, 5
10, 32, 5
11, 32, 5
12, 32, 5
13, 32, 5
14, 32, 5
15, 32, 5
16, 32, 5
17, 32, 5
18, 32, 5
1, 33, 5
2, 33, 5
3, 33, 5
4, 33, 5
5, 33, 5
6, 33, 5
7, 33, 5
8, 33, 5
9, 33, 5
10, 33, 5
11, 33, 5
12, 33, 5
13, 33, 5
14, 33, 5
15, 33, 5
16, 33, 5
17, 33, 5
18, 33, 5
19, 33, 5
20, 33, 5
21, 33, 5
22, 33, 5
0, 34, 5
1, 34, 5
2, 34, 5
3, 34, 5
4, 34, 5
5, 34, 5
6, 34, 5
7, 34, 5
8, 34, 5
9, 34, 5
10, 34, 5
11, 34, 5
12, 34, 5
13, 34, 5
14, 34, 5
15, 34, 5
16, 34, 5
17, 34, 5
18, 34, 5
19, 34, 5
20, 34, 5
21, 34, 5
22, 34, 5
0, 35, 5
1, 35, 5
2, 35, 5
3, 35, 5
4, 35, 5
5, 35, 5
6, 35, 5
7, 35, 5
8, 35, 5
9, 35, 5
10, 35, 5
11, 35, 5
12, 35, 5
13, 35, 5
14, 35, 5
15, 35, 5
16, 35, 5
17, 35, 5
18, 35, 5
19, 35, 5
20, 35, 5
21, 35, 5
22, 35, 5
1, 36, 5
2, 36, 5
3, 36, 5
4, 36, 5
5, 36, 5
6, 36, 5
7, 36, 5
8, 36, 5
9, 36, 5
10, 36, 5
11, 36, 5
12, 36, 5
13, 36, 5
14, 36, 5
15, 36, 5
16, 36, 5
17, 36, 5
18, 36, 5
19, 36, 5
20, 36, 5
21, 36, 5
22, 36, 5
1, 37, 5
2, 37, 5
3, 37, 5
4, 37, 5
5, 37, 5
6, 37, 5
7, 37, 5
8, 37, 5
9, 37, 5
10, 37, 5
11, 37, 5
12, 37, 5
13, 37, 5
14, 37, 5
15, 37, 5
16, 37, 5
17, 37, 5
18, 37, 5
19, 37, 5
20, 37, 5
21, 37, 5
22, 37, 5
2, 38, 5
3, 38, 5
4, 38, 5
5, 38, 5
6, 38, 5
7, 38, 5
8, 38, 5
9, 38, 5
10, 38, 5
11, 38, 5
12, 38, 5
13, 38, 5
14, 38, 5
15, 38, 5
16, 38, 5
17, 38, 5
18, 38, 5
19, 38, 5
20, 38, 5
21, 38, 5
22, 38, 5
3, 39, 5
4, 39, 5
5, 39, 5
6, 39, 5
7, 39, 5
8, 39, 5
9, 39, 5
10, 39, 5
11, 39, 5
12, 39, 5
13, 39, 5
14, 39, 5
15, 39, 5
16, 39, 5
17, 39, 5
18, 39, 5
19, 39, 5
20, 39, 5
21, 39, 5
22, 39, 5
3, 40, 5
4, 40, 5
5, 40, 5
6, 40, 5
7, 40, 5
8, 40, 5
9, 40, 5
10, 40, 5
11, 40, 5
12, 40, 5
13, 40, 5
14, 40, 5
15, 40, 5
16, 40, 5
17, 40, 5
18, 40, 5
19, 40, 5
20, 40, 5
21, 40, 5
22, 40, 5
3, 41, 5
4, 41, 5
5, 41, 5
6, 41, 5
7, 41, 5
8, 41, 5
9, 41, 5
10, 41, 5
11, 41, 5
12, 41, 5
13, 41, 5
14, 41, 5
15, 41, 5
16, 41, 5
17, 41, 5
18, 41, 5
19, 41, 5
20, 41, 5
21, 41, 5
22, 41, 5
4, 42, 5
5, 42, 5
6, 42, 5
7, 42, 5
8, 42, 5
9, 42, 5
10, 42, 5
11, 42, 5
12, 42, 5
13, 42, 5
14, 42, 5
15, 42, 5
16, 42, 5
17, 42, 5
18, 42, 5
19, 42, 5
20, 42, 5
21, 42, 5
22, 42, 5
4, 43, 5
5, 43, 5
6, 43, 5
7, 43, 5
8, 43, 5
9, 43, 5
10, 43, 5
11, 43, 5
12, 43, 5
13, 43, 5
14, 43, 5
15, 43, 5
16, 43, 5
17, 43, 5
18, 43, 5
19, 43, 5
20, 43, 5
21, 43, 5
22, 43, 5
11, 0, 6
12, 0, 6
13, 0, 6
14, 0, 6
15, 0, 6
16, 0, 6
17, 0, 6
18, 0, 6
19, 0, 6
20, 0, 6
21, 0, 6
22, 0, 6
23, 0, 6
24, 0, 6
25, 0, 6
26, 0, 6
27, 0, 6
28, 0, 6
29, 0, 6
30, 0, 6
31, 0, 6
32, 0, 6
14, 1, 6
15, 1, 6
16, 1, 6
17, 1, 6
18, 1, 6
19, 1, 6
20, 1, 6
21, 1, 6
22, 1, 6
23, 1, 6
24, 1, 6
25, 1, 6
26, 1, 6
27, 1, 6
28, 1, 6
29, 1, 6
30, 1, 6
31, 1, 6
32, 1, 6
15, 2, 6
16, 2, 6
17, 2, 6
18, 2, 6
19, 2, 6
20, 2, 6
21, 2, 6
22, 2, 6
23, 2, 6
24, 2, 6
25, 2, 6
26, 2, 6
27, 2, 6
28, 2, 6
29, 2, 6
30, 2, 6
31, 2, 6
32, 2, 6
15, 3, 6
16, 3, 6
17, 3, 6
18, 3, 6
19, 3, 6
20, 3, 6
21, 3, 6
22, 3, 6
23, 3, 6
24, 3, 6
25, 3, 6
26, 3, 6
27, 3, 6
28, 3, 6
29, 3, 6
30, 3, 6
31, 3, 6
32, 3, 6
16, 4, 6
17, 4, 6
18, 4, 6
19, 4, 6
20, 4, 6
21, 4, 6
22, 4, 6
23, 4, 6
24, 4, 6
25, 4, 6
26, 4, 6
27, 4, 6
28, 4, 6
29, 4, 6
30, 4, 6
31, 4, 6
32, 4, 6
16, 5, 6
17, 5, 6
18, 5, 6
19, 5, 6
20, 5, 6
21, 5, 6
22, 5, 6
23, 5, 6
24, 5, 6
25, 5, 6
26, 5, 6
27, 5, 6
28, 5, 6
29, 5, 6
30, 5, 6
31, 5, 6
32, 5, 6
17, 6, 6
18, 6, 6
19, 6, 6
20, 6, 6
21, 6, 6
22, 6, 6
23, 6, 6
24, 6, 6
25, 6, 6
26, 6, 6
27, 6, 6
28, 6, 6
29, 6, 6
30, 6, 6
31, 6, 6
18, 7, 6
19, 7, 6
20, 7, 6
21, 7, 6
22, 7, 6
23, 7, 6
24, 7, 6
25, 7, 6
26, 7, 6
27, 7, 6
28, 7, 6
29, 7, 6
30, 7, 6
18, 8, 6
19, 8, 6
20, 8, 6
21, 8, 6
22, 8, 6
23, 8, 6
24, 8, 6
25, 8, 6
26, 8, 6
27, 8, 6
28, 8, 6
19, 9, 6
20, 9, 6
21, 9, 6
22, 9, 6
23, 9, 6
24, 9, 6
25, 9, 6
26, 9, 6
19, 10, 6
20, 10, 6
21, 10, 6
22, 10, 6
23, 10, 6
23, 14, 1
24, 14, 1
25, 14, 1
21, 15, 1
22, 15, 1
23, 15, 1
24, 15, 1
25, 15, 1
26, 15, 1
27, 15, 1
19, 16, 1
20, 16, 1
21, 16, 1
22, 16, 1
23, 16, 1
24, 16, 1
25, 16, 1
26, 16, 1
27, 16, 1
28, 16, 1
29, 16, 1
17, 17, 1
18, 17, 1
19, 17, 1
20, 17, 1
21, 17, 1
22, 17, 1
23, 17, 1
24, 17, 1
25, 17, 1
26, 17, 1
27, 17, 1
28, 17, 1
29, 17, 1
30, 17, 1
31, 17, 1
16, 18, 1
17, 18, 1
18, 18, 1
19, 18, 1
20, 18, 1
21, 18, 1
22, 18, 1
23, 18, 1
24, 18, 1
25, 18, 1
26, 18, 1
27, 18, 1
28, 18, 1
29, 18, 1
30, 18, 1
31, 18, 1
32, 18, 1
14, 19, 1
15, 19, 1
16, 19, 1
17, 19, 1
18, 19, 1
19, 19, 1
20, 19, 1
21, 19, 1
22, 19, 1
23, 19, 1
24, 19, 1
25, 19, 1
26, 19, 1
27, 19, 1
28, 19, 1
29, 19, 1
30, 19, 1
14, 20, 1
15, 20, 1
16, 20, 1
17, 20, 1
18, 20, 1
19, 20, 1
20, 20, 1
21, 20, 1
22, 20, 1
23, 20, 1
24, 20, 1
25, 20, 1
26, 20, 1
27, 20, 1
28, 20, 1
29, 20, 1
30, 20, 1
13, 21, 1
14, 21, 1
15, 21, 1
16, 21, 1
17, 21, 1
18, 21, 1
19, 21, 1
20, 21, 1
21, 21, 1
22, 21, 1
23, 21, 1
24, 21, 1
25, 21, 1
26, 21, 1
27, 21, 1
28, 21, 1
29, 21, 1
30, 21, 1
12, 22, 1
13, 22, 1
14, 22, 1
15, 22, 1
16, 22, 1
17, 22, 1
18, 22, 1
19, 22, 1
20, 22, 1
21, 22, 1
22, 22, 1
23, 22, 1
24, 22, 1
25, 22, 1
26, 22, 1
27, 22, 1
28, 22, 1
29, 22, 1
30, 22, 1
31, 22, 1
12, 23, 1
13, 23, 1
14, 23, 1
15, 23, 1
16, 23, 1
17, 23, 1
18, 23, 1
19, 23, 1
20, 23, 1
21, 23, 1
22, 23, 1
23, 23, 1
24, 23, 1
25, 23, 1
26, 23, 1
27, 23, 1
28, 23, 1
29, 23, 1
30, 23, 1
31, 23, 1
12, 24, 1
13, 24, 1
14, 24, 1
15, 24, 1
16, 24, 1
17, 24, 1
18, 24, 1
19, 24, 1
20, 24, 1
21, 24, 1
22, 24, 1
23, 24, 1
24, 24, 1
25, 24, 1
26, 24, 1
27, 24, 1
28, 24, 1
29, 24, 1
30, 24, 1
31, 24, 1
11, 25, 1
12, 25, 1
13, 25, 1
14, 25, 1
15, 25, 1
16, 25, 1
17, 25, 1
18, 25, 1
19, 25, 1
20, 25, 1
21, 25, 1
22, 25, 1
23, 25, 1
24, 25, 1
25, 25, 1
26, 25, 1
27, 25, 1
28, 25, 1
29, 25, 1
30, 25, 1
31, 25, 1
12, 26, 1
13, 26, 1
14, 26, 1
15, 26, 1
16, 26, 1
17, 26, 1
18, 26, 1
19, 26, 1
20, 26, 1
21, 26, 1
22, 26, 1
23, 26, 1
24, 26, 1
25, 26, 1
26, 26, 1
27, 26, 1
28, 26, 1
29, 26, 1
30, 26, 1
12, 27, 1
13, 27, 1
14, 27, 1
15, 27, 1
16, 27, 1
