x,y,index
0, 8, 4
1, 8, 4
2, 8, 4
3, 8, 4
4, 8, 4
5, 8, 4
6, 8, 4
7, 8, 4
8, 8, 4
9, 8, 4
10, 8, 4
11, 8, 4
0, 9, 4
1, 9, 4
2, 9, 4
3, 9, 4
4, 9, 4
5, 9, 4
6, 9, 4
7, 9, 4
8, 9, 4
9, 9, 4
10, 9, 4
11, 9, 4
0, 10, 4
1, 10, 4
2, 10, 4
3, 10, 4
4, 10, 4
5, 10, 4
6, 10, 4
7, 10, 4
8, 10, 4
9, 10, 4
10, 10, 4
11, 10, 4
0, 11, 4
1, 11, 4
2, 11, 4
3, 11, 4
4, 11, 4
5, 11, 4
6, 11, 4
7, 11, 4
8, 11, 4
9, 11, 4
10, 11, 4
11, 11, 4
0, 12, 4
1, 12, 4
2, 12, 4
3, 12, 4
4, 12, 4
5, 12, 4
6, 12, 4
7, 12, 4
8, 12, 4
9, 12, 4
10, 12, 4
11, 12, 4
0, 13, 4
1, 13, 4
2, 13, 4
3, 13, 4
4, 13, 4
5, 13, 4
6, 13, 4
7, 13, 4
8, 13, 4
9, 13, 4
10, 13, 4
11, 13, 4
0, 14, 4
1, 14, 4
2, 14, 4
3, 14, 4
4, 14, 4
5, 14, 4
6, 14, 4
7, 14, 4
8, 14, 4
9, 14, 4
10, 14, 4
11, 14, 4
0, 15, 4
1, 15, 4
2, 15, 4
3, 15, 4
4, 15, 4
5, 15, 4
6, 15, 4
7, 15, 4
8, 15, 4
9, 15, 4
10, 15, 4
11, 15, 4
0, 16, 4
1, 16, 4
2, 16, 4
3, 16, 4
4, 16, 4
5, 16, 4
6, 16, 4
7, 16, 4
8, 16, 4
9, 16, 4
10, 16, 4
11, 16, 4
0, 17, 4
1, 17, 4
2, 17, 4
3, 17, 4
4, 17, 4
5, 17, 4
6, 17, 4
7, 17, 4
8, 17, 4
9, 17, 4
10, 17, 4
11, 17, 4
0, 18, 4
1, 18, 4
2, 18, 4
3, 18, 4
4, 18, 4
5, 18, 4
6, 18, 4
7, 18, 4
8, 18, 4
9, 18, 4
10, 18, 4
11, 18, 4
