optimum
2500
iteration,score,rawScore,overlap
0, 7040, 7040, 0
1, 10340, 10340, 0
2, 7189, 7189, 0
3, 5733, 5733, 0
4, 8282, 8282, 0
5, 6880, 6880, 0
6, 6478, 6478, 0
7, 7560, 7560, 0
8, 7020, 7020, 0
9, 9494, 9494, 0
10, 7035, 7035, 0
11, 7740, 7740, 0
12, 8554, 8554, 0
13, 8228, 8228, 0
14, 6384, 6384, 0
15, 8784, 8784, 0
16, 10922, 10922, 0
17, 6930, 6930, 0
18, 7980, 7980, 0
19, 7189, 7189, 0
20, 8424, 8424, 0
21, 6885, 6885, 0
22, 7104, 7104, 0
23, 8455, 8455, 0
24, 6624, 6624, 0
25, 8892, 8892, 0
26, 8342, 8342, 0
27, 7332, 7332, 0
28, 7308, 7308, 0
29, 5612, 5612, 0
30, 9916, 9916, 0
31, 5780, 5780, 0
32, 6888, 6888, 0
33, 7446, 7446, 0
34, 7209, 7209, 0
35, 8175, 8175, 0
36, 6320, 6320, 0
37, 5920, 5920, 0
38, 8056, 8056, 0
39, 6532, 6532, 0
40, 7383, 7383, 0
41, 7965, 7965, 0
42, 5538, 5538, 0
43, 5329, 5329, 0
44, 7161, 7161, 0
45, 6351, 6351, 0
46, 8372, 8372, 0
47, 5478, 5478, 0
48, 6776, 6776, 0
49, 5963, 5963, 0
50, 8645, 8645, 0
51, 6912, 6912, 0
52, 8900, 8900, 0
53, 7310, 7310, 0
54, 11468, 11468, 0
55, 6320, 6320, 0
56, 8436, 8436, 0
57, 7760, 7760, 0
58, 5796, 5796, 0
59, 6600, 6600, 0
60, 8811, 8811, 0
61, 6806, 6806, 0
62, 8284, 8284, 0
63, 7482, 7482, 0
64, 8989, 8989, 0
65, 7954, 7954, 0
66, 7616, 7616, 0
67, 8134, 8134, 0
68, 7979, 7979, 0
69, 5880, 5880, 0
70, 7800, 7800, 0
71, 8640, 8640, 0
72, 7100, 7100, 0
73, 8362, 8362, 0
74, 9408, 9408, 0
75, 5518, 5518, 0
76, 6468, 6468, 0
77, 6786, 6786, 0
78, 7644, 7644, 0
79, 7776, 7776, 0
80, 7597, 7597, 0
81, 7546, 7546, 0
82, 8325, 8325, 0
83, 6132, 6132, 0
84, 8352, 8352, 0
85, 7920, 7920, 0
86, 8148, 8148, 0
87, 6035, 6035, 0
88, 8460, 8460, 0
89, 5810, 5810, 0
90, 6834, 6834, 0
91, 5922, 5922, 0
92, 6555, 6555, 0
93, 9790, 9790, 0
94, 5472, 5472, 0
95, 7600, 7600, 0
96, 6336, 6336, 0
97, 6776, 6776, 0
98, 6370, 6370, 0
99, 8827, 8827, 0
100, 6776, 6776, 0
101, 9100, 9100, 0
102, 6148, 6148, 0
103, 5768, 5768, 0
104, 11625, 11625, 0
105, 7676, 7676, 0
106, 6956, 6956, 0
107, 6156, 6156, 0
108, 7383, 7383, 0
109, 7383, 7383, 0
110, 5265, 5265, 0
111, 6138, 6138, 0
112, 9450, 9450, 0
113, 8800, 8800, 0
114, 7917, 7917, 0
115, 8188, 8188, 0
116, 8190, 8190, 0
117, 6952, 6952, 0
118, 7171, 7171, 0
119, 7144, 7144, 0
120, 5720, 5720, 0
121, 6083, 6083, 0
122, 5780, 5780, 0
123, 5810, 5810, 0
124, 11076, 11076, 0
125, 7161, 7161, 0
126, 6688, 6688, 0
127, 6650, 6650, 0
128, 9856, 9856, 0
129, 7068, 7068, 0
130, 6084, 6084, 0
131, 6336, 6336, 0
132, 7224, 7224, 0
133, 9996, 9996, 0
134, 10912, 10912, 0
135, 7752, 7752, 0
136, 7276, 7276, 0
137, 5520, 5520, 0
138, 6160, 6160, 0
139, 7680, 7680, 0
140, 9234, 9234, 0
141, 5576, 5576, 0
142, 10922, 10922, 0
143, 5915, 5915, 0
144, 5785, 5785, 0
145, 9652, 9652, 0
146, 8364, 8364, 0
147, 7488, 7488, 0
148, 8030, 8030, 0
149, 7350, 7350, 0
150, 9494, 9494, 0
151, 9312, 9312, 0
152, 7455, 7455, 0
153, 7238, 7238, 0
154, 9270, 9270, 0
155, 10528, 10528, 0
156, 7085, 7085, 0
157, 7128, 7128, 0
158, 6351, 6351, 0
159, 6720, 6720, 0
160, 6156, 6156, 0
161, 5893, 5893, 0
162, 7344, 7344, 0
163, 7708, 7708, 0
164, 6716, 6716, 0
165, 10070, 10070, 0
166, 7350, 7350, 0
167, 10922, 10922, 0
168, 5280, 5280, 0
169, 6336, 6336, 0
170, 7980, 7980, 0
171, 8532, 8532, 0
172, 8281, 8281, 0
173, 7326, 7326, 0
174, 10146, 10146, 0
175, 6820, 6820, 0
176, 7070, 7070, 0
177, 9243, 9243, 0
178, 5460, 5460, 0
179, 7128, 7128, 0
180, 7520, 7520, 0
181, 11662, 11662, 0
182, 8132, 8132, 0
183, 6365, 6365, 0
184, 8178, 8178, 0
185, 8742, 8742, 0
186, 5980, 5980, 0
187, 8084, 8084, 0
188, 7426, 7426, 0
189, 7410, 7410, 0
