optimum
2500
iteration,score,rawScore,overlap
0, 7313, 7313, 0
1, 6864, 6864, 0
2, 6466, 6466, 0
3, 7200, 7200, 0
4, 6696, 6696, 0
5, 9322, 9322, 0
6, 7031, 7031, 0
7, 5254, 5254, 0
8, 6750, 6750, 0
9, 5150, 5150, 0
10, 6305, 6305, 0
11, 6552, 6552, 0
12, 5320, 5320, 0
13, 6100, 6100, 0
14, 4896, 4896, 0
15, 4536, 4536, 0
16, 5772, 5772, 0
17, 5858, 5858, 0
18, 5986, 5986, 0
19, 7200, 7200, 0
20, 6132, 6132, 0
21, 7154, 7154, 0
22, 5994, 5994, 0
23, 6696, 6696, 0
24, 6230, 6230, 0
25, 6557, 6557, 0
26, 6141, 6141, 0
27, 6132, 6132, 0
28, 7452, 7452, 0
29, 5984, 5984, 0
30, 6097, 6097, 0
31, 6080, 6080, 0
32, 5700, 5700, 0
33, 6400, 6400, 0
34, 6175, 6175, 0
35, 5925, 5925, 0
36, 5040, 5040, 0
37, 5244, 5244, 0
38, 6141, 6141, 0
39, 6210, 6210, 0
40, 5934, 5934, 0
41, 4800, 4800, 0
42, 6696, 6696, 0
43, 4582, 4582, 0
44, 6402, 6402, 0
45, 9309, 9309, 0
46, 5621, 5621, 0
47, 5913, 5913, 0
48, 4380, 4380, 0
49, 6864, 6864, 0
50, 4675, 4675, 0
51, 7392, 7392, 0
52, 5920, 5920, 0
53, 5760, 5760, 0
54, 4819, 4819, 0
55, 5751, 5751, 0
56, 6474, 6474, 0
57, 4480, 4480, 0
58, 5418, 5418, 0
59, 6816, 6816, 0
60, 6018, 6018, 0
61, 6417, 6417, 0
62, 5928, 5928, 0
63, 5244, 5244, 0
64, 6972, 6972, 0
65, 6174, 6174, 0
66, 6320, 6320, 0
67, 6004, 6004, 0
68, 5609, 5609, 0
69, 5727, 5727, 0
70, 6160, 6160, 0
71, 4590, 4590, 0
72, 5609, 5609, 0
73, 5734, 5734, 0
74, 5396, 5396, 0
75, 8736, 8736, 0
76, 6942, 6942, 0
77, 6555, 6555, 0
78, 4556, 4556, 0
79, 4959, 4959, 0
80, 6640, 6640, 0
81, 5859, 5859, 0
82, 5568, 5568, 0
83, 7276, 7276, 0
84, 6486, 6486, 0
85, 5785, 5785, 0
86, 5340, 5340, 0
87, 7910, 7910, 0
88, 5092, 5092, 0
89, 6992, 6992, 0
90, 5368, 5368, 0
91, 6248, 6248, 0
92, 8330, 8330, 0
93, 5676, 5676, 0
94, 6450, 6450, 0
95, 6536, 6536, 0
96, 7920, 7920, 0
97, 5829, 5829, 0
98, 7098, 7098, 0
99, 5688, 5688, 0
100, 5130, 5130, 0
101, 7990, 7990, 0
102, 5520, 5520, 0
103, 6318, 6318, 0
104, 6596, 6596, 0
105, 6192, 6192, 0
106, 6693, 6693, 0
107, 4970, 4970, 0
108, 6048, 6048, 0
109, 6256, 6256, 0
110, 4864, 4864, 0
111, 4698, 4698, 0
112, 5382, 5382, 0
113, 5994, 5994, 0
114, 7227, 7227, 0
115, 6868, 6868, 0
116, 6624, 6624, 0
117, 6794, 6794, 0
118, 7128, 7128, 0
119, 5440, 5440, 0
120, 5700, 5700, 0
121, 5148, 5148, 0
122, 6880, 6880, 0
123, 7040, 7040, 0
124, 6225, 6225, 0
125, 7100, 7100, 0
126, 6552, 6552, 0
127, 4350, 4350, 0
128, 6460, 6460, 0
129, 9296, 9296, 0
130, 6048, 6048, 0
131, 5568, 5568, 0
132, 6724, 6724, 0
133, 6969, 6969, 0
134, 7189, 7189, 0
135, 8536, 8536, 0
136, 7676, 7676, 0
137, 7790, 7790, 0
138, 5238, 5238, 0
139, 5402, 5402, 0
140, 6642, 6642, 0
141, 6720, 6720, 0
142, 5460, 5460, 0
143, 5488, 5488, 0
144, 5400, 5400, 0
145, 6328, 6328, 0
146, 5772, 5772, 0
147, 5293, 5293, 0
148, 5700, 5700, 0
149, 7068, 7068, 0
150, 6156, 6156, 0
151, 6666, 6666, 0
152, 5475, 5475, 0
153, 6512, 6512, 0
154, 6006, 6006, 0
155, 5950, 5950, 0
156, 5225, 5225, 0
157, 7440, 7440, 0
158, 5040, 5040, 0
159, 7085, 7085, 0
160, 7098, 7098, 0
161, 5859, 5859, 0
162, 5226, 5226, 0
163, 7526, 7526, 0
164, 5226, 5226, 0
165, 6240, 6240, 0
166, 9393, 9393, 0
167, 5159, 5159, 0
168, 6624, 6624, 0
