x,y,index
8, 2, 0
9, 2, 0
10, 2, 0
11, 2, 0
8, 3, 0
9, 3, 0
10, 3, 0
11, 3, 0
8, 4, 0
9, 4, 0
10, 4, 0
11, 4, 0
8, 0, 1
9, 0, 1
10, 0, 1
11, 0, 1
12, 0, 1
13, 0, 1
14, 0, 1
0, 0, 2
1, 0, 2
2, 0, 2
3, 0, 2
0, 1, 2
1, 1, 2
2, 1, 2
3, 1, 2
0, 2, 2
1, 2, 2
2, 2, 2
3, 2, 2
0, 3, 2
1, 3, 2
2, 3, 2
3, 3, 2
0, 4, 2
1, 4, 2
2, 4, 2
3, 4, 2
0, 5, 2
1, 5, 2
2, 5, 2
3, 5, 2
17, 0, 3
18, 0, 3
17, 1, 3
18, 1, 3
17, 2, 3
18, 2, 3
17, 3, 3
18, 3, 3
17, 4, 3
18, 4, 3
17, 5, 3
18, 5, 3
4, 2, 4
5, 2, 4
6, 2, 4
7, 2, 4
4, 3, 4
5, 3, 4
6, 3, 4
7, 3, 4
13, 1, 5
14, 1, 5
15, 1, 5
16, 1, 5
13, 2, 5
14, 2, 5
15, 2, 5
16, 2, 5
13, 3, 5
14, 3, 5
15, 3, 5
16, 3, 5
13, 4, 5
14, 4, 5
15, 4, 5
16, 4, 5
13, 5, 5
14, 5, 5
15, 5, 5
16, 5, 5
4, 1, 6
5, 1, 6
6, 1, 6
7, 1, 7
8, 1, 7
9, 1, 7
10, 1, 7
11, 1, 7
12, 1, 7
4, 4, 8
5, 4, 8
4, 5, 8
5, 5, 8
4, 0, 9
5, 0, 9
6, 0, 9
7, 0, 9
