optimum
2500
iteration,score,rawScore,overlap
0, 11200, 11200, 0
1, 7979, 7979, 0
2, 6020, 6020, 0
3, 7663, 7663, 0
4, 6720, 6720, 0
5, 7560, 7560, 0
6, 7866, 7866, 0
7, 10476, 10476, 0
8, 11592, 11592, 0
9, 6536, 6536, 0
10, 6384, 6384, 0
11, 7979, 7979, 0
12, 7896, 7896, 0
13, 7209, 7209, 0
14, 6760, 6760, 0
15, 9324, 9324, 0
16, 10032, 10032, 0
17, 9108, 9108, 0
18, 6256, 6256, 0
19, 15096, 15096, 0
20, 7956, 7956, 0
21, 8736, 8736, 0
22, 11135, 11135, 0
23, 7735, 7735, 0
24, 8632, 8632, 0
25, 8964, 8964, 0
26, 10070, 10070, 0
27, 13110, 13110, 0
28, 13184, 13184, 0
29, 6460, 6460, 0
30, 9435, 9435, 0
31, 7770, 7770, 0
32, 6298, 6298, 0
33, 16065, 16065, 0
34, 7722, 7722, 0
35, 7820, 7820, 0
36, 7560, 7560, 0
37, 6464, 6464, 0
38, 8662, 8662, 0
39, 7739, 7739, 0
40, 7220, 7220, 0
41, 8549, 8549, 0
42, 8384, 8384, 0
43, 10476, 10476, 0
44, 8827, 8827, 0
45, 10384, 10384, 0
46, 10057, 10057, 0
47, 9345, 9345, 0
48, 8132, 8132, 0
49, 5940, 5940, 0
50, 7917, 7917, 0
51, 13912, 13912, 0
52, 9240, 9240, 0
53, 7857, 7857, 0
54, 6552, 6552, 0
55, 9592, 9592, 0
56, 9840, 9840, 0
57, 6800, 6800, 0
58, 8064, 8064, 0
59, 7056, 7056, 0
60, 7784, 7784, 0
61, 9594, 9594, 0
62, 9434, 9434, 0
63, 11312, 11312, 0
64, 9296, 9296, 0
65, 10890, 10890, 0
66, 7680, 7680, 0
67, 9828, 9828, 0
68, 7371, 7371, 0
69, 6767, 6767, 0
70, 8374, 8374, 0
71, 6930, 6930, 0
72, 9630, 9630, 0
73, 8662, 8662, 0
74, 12600, 12600, 0
75, 10476, 10476, 0
76, 8820, 8820, 0
77, 8624, 8624, 0
78, 6528, 6528, 0
79, 7144, 7144, 0
80, 7280, 7280, 0
81, 10192, 10192, 0
82, 9405, 9405, 0
83, 6072, 6072, 0
84, 12193, 12193, 0
85, 9672, 9672, 0
86, 7452, 7452, 0
87, 8364, 8364, 0
88, 6678, 6678, 0
89, 7384, 7384, 0
90, 10120, 10120, 0
91, 11868, 11868, 0
92, 10593, 10593, 0
93, 8632, 8632, 0
94, 9200, 9200, 0
95, 9400, 9400, 0
96, 10700, 10700, 0
97, 10234, 10234, 0
98, 13806, 13806, 0
99, 6111, 6111, 0
100, 9476, 9476, 0
101, 8736, 8736, 0
102, 8366, 8366, 0
103, 7590, 7590, 0
104, 10062, 10062, 0
105, 7020, 7020, 0
106, 6992, 6992, 0
107, 7400, 7400, 0
108, 8850, 8850, 0
109, 12852, 12852, 0
110, 13570, 13570, 0
111, 9048, 9048, 0
112, 9636, 9636, 0
113, 7644, 7644, 0
114, 10388, 10388, 0
115, 8468, 8468, 0
116, 10880, 10880, 0
117, 12006, 12006, 0
118, 10287, 10287, 0
119, 7560, 7560, 0
120, 9150, 9150, 0
121, 7020, 7020, 0
122, 7104, 7104, 0
