iteration, score, overlap
0, 355944, 1
1, 371880, 1
2, 234876, 0
3, 356720, 0
4, 300872, 0
5, 352708, 1
6, 348840, 1
7, 355376, 1
8, 248064, 0
9, 332429, 1
10, 234876, 0
11, 368256, 1
12, 357144, 1
13, 381700, 1
14, 321420, 1
15, 355944, 1
16, 290741, 1
17, 287290, 1
18, 355944, 1
19, 356200, 0
20, 255075, 0
21, 234876, 0
22, 255075, 0
23, 337725, 0
24, 267936, 1
25, 254364, 0
26, 306375, 0
27, 291696, 1
28, 255075, 0
29, 255075, 0
30, 234876, 0
31, 255075, 0
32, 332025, 0
33, 255075, 0
34, 211578, 0
35, 255075, 0
36, 262440, 1
37, 296096, 0
38, 255445, 1
39, 255075, 0
40, 211578, 0
41, 296128, 0
42, 296128, 0
43, 296128, 0
44, 236463, 0
45, 234876, 0
46, 324887, 0
47, 277944, 0
48, 334208, 0
49, 296128, 0
50, 235218, 0
51, 211578, 0
52, 192027, 0
53, 308750, 0
54, 235218, 0
55, 305350, 0
56, 288000, 0
57, 280798, 0
58, 250978, 0
59, 243340, 0
60, 192027, 0
61, 265068, 0
62, 227457, 0
63, 265068, 0
64, 235025, 0
65, 235218, 0
66, 235218, 0
67, 235218, 0
68, 221651, 0
69, 307714, 0
70, 193859, 1
71, 213187, 0
72, 193859, 1
73, 201321, 1
74, 324896, 0
75, 186930, 1
76, 187499, 1
77, 222156, 0
78, 193859, 1
79, 194804, 1
80, 186930, 1
81, 249035, 1
82, 198797, 1
83, 230159, 1
84, 220509, 1
85, 262020, 1
86, 193859, 1
87, 207337, 0
88, 194804, 1
89, 227438, 1
90, 222794, 0
91, 191727, 1
92, 162509, 1
93, 179930, 1
94, 185150, 0
95, 222794, 0
96, 266266, 0
97, 253708, 0
98, 222794, 0
99, 222794, 0
100, 162509, 1
101, 222794, 0
102, 293018, 0
103, 223362, 1
104, 269698, 0
105, 186550, 0
106, 297616, 0
107, 233454, 0
108, 272406, 0
109, 222794, 0
110, 234738, 1
111, 234498, 0
112, 234738, 1
113, 234738, 1
114, 254016, 0
115, 258564, 1
116, 308724, 1
117, 307648, 0
118, 207009, 0
119, 228006, 1
120, 207009, 0
121, 234738, 1
122, 345636, 1
123, 234498, 0
124, 234738, 1
125, 234738, 1
126, 275955, 1
127, 234838, 1
128, 265252, 1
129, 306861, 1
130, 184671, 0
131, 213331, 0
132, 208854, 0
133, 306861, 1
134, 207009, 0
135, 224352, 0
136, 251104, 0
137, 207009, 0
138, 184671, 0
139, 213360, 0
140, 184671, 0
141, 230794, 0
142, 171105, 0
143, 184671, 0
144, 222372, 0
145, 267102, 0
146, 205119, 0
147, 184671, 0
148, 299085, 0
149, 170510, 0
150, 170510, 0
151, 226116, 0
152, 189584, 0
153, 170510, 0
154, 184671, 0
155, 184671, 0
156, 200007, 0
157, 249555, 0
158, 184671, 0
159, 184671, 0
160, 172744, 0
161, 187620, 0
162, 196809, 0
163, 170735, 1
164, 204730, 0
165, 170510, 0
166, 231870, 0
167, 170510, 0
168, 184671, 0
169, 172744, 0
170, 170510, 0
171, 172744, 0
172, 210192, 0
173, 173504, 1
174, 207776, 0
175, 176730, 0
176, 196268, 0
177, 201736, 0
178, 186758, 0
179, 274375, 0
180, 191029, 0
181, 166380, 0
182, 170510, 0
183, 170510, 0
184, 276250, 0
185, 191029, 0
186, 183577, 1
187, 247875, 0
188, 192394, 1
189, 219452, 0
190, 166380, 0
191, 219452, 0
192, 253824, 0
193, 219452, 0
194, 252502, 0
195, 224370, 0
196, 191029, 0
197, 328856, 0
198, 220113, 0
199, 253163, 0
200, 251029, 0
201, 251029, 0
202, 251029, 0
203, 251029, 0
204, 251029, 0
205, 251029, 0
206, 177590, 0
207, 251029, 0
208, 251029, 0
209, 278096, 0
210, 177590, 0
211, 251029, 0
212, 265576, 0
213, 240585, 0
214, 251029, 0
215, 251229, 1
216, 251029, 0
217, 251029, 0
218, 251029, 0
219, 288288, 0
220, 251034, 0
221, 169035, 0
222, 182406, 0
223, 271544, 0
224, 168560, 0
225, 177590, 0
226, 251034, 0
227, 242490, 0
