optimum
2500
iteration,score,rawScore,overlap
0, 32769, 27885, 22
1, 27716, 27716, 0
2, 64448, 22712, 211
3, 58242, 26496, 143
4, 75444, 33708, 211
5, 60466, 18952, 187
6, 69960, 28224, 196
7, 36265, 31603, 21
8, 66700, 24964, 211
9, 60212, 18476, 414
10, 31538, 28208, 15
11, 66700, 24964, 211
12, 66700, 24964, 211
13, 60212, 18476, 414
14, 60212, 18476, 414
15, 34560, 26568, 36
16, 30304, 30082, 1
17, 63808, 22072, 414
18, 28107, 27885, 1
19, 32769, 27885, 22
20, 32769, 27885, 22
21, 32769, 27885, 22
22, 63808, 22072, 414
23, 63808, 22072, 414
24, 32769, 27885, 22
25, 32769, 27885, 22
26, 32769, 27885, 22
27, 63808, 22072, 414
28, 32769, 27885, 22
29, 32769, 27885, 22
30, 32769, 27885, 22
31, 32769, 27885, 22
32, 32769, 27885, 22
33, 71963, 30227, 270
34, 75177, 33441, 225
35, 33489, 33489, 0
36, 31672, 29452, 10
37, 41946, 27072, 67
38, 59415, 33441, 117
39, 75198, 33462, 270
40, 76888, 35152, 315
41, 34390, 31504, 13
42, 59415, 33441, 117
43, 59415, 33441, 117
44, 34390, 31504, 13
45, 34390, 31504, 13
46, 57584, 33830, 107
47, 53013, 32589, 92
48, 71963, 30227, 270
49, 34390, 31504, 13
50, 71963, 30227, 270
51, 57584, 33830, 107
52, 50077, 32761, 78
53, 33818, 26492, 33
54, 71963, 30227, 270
55, 71963, 30227, 270
56, 57584, 33830, 107
57, 71963, 30227, 270
58, 57584, 33830, 107
59, 71963, 30227, 270
60, 71963, 30227, 270
61, 57584, 33830, 107
62, 71963, 30227, 270
63, 71963, 30227, 270
64, 71963, 30227, 270
65, 71963, 30227, 270
66, 47246, 29930, 78
67, 62976, 21240, 299
68, 72336, 30600, 228
69, 30956, 30956, 0
70, 49356, 25380, 108
71, 56718, 24750, 144
72, 41386, 24070, 78
73, 47246, 29930, 78
74, 47246, 29930, 78
75, 47246, 29930, 78
76, 47246, 29930, 78
77, 47246, 29930, 78
78, 47246, 29930, 78
79, 37740, 37740, 0
80, 33360, 26700, 30
81, 60294, 34320, 117
82, 37380, 37380, 0
83, 29673, 29673, 0
84, 29484, 29484, 0
85, 59850, 34320, 115
86, 41866, 30544, 51
87, 51477, 34161, 78
88, 34587, 34587, 0
89, 55052, 23528, 142
90, 31557, 31557, 0
91, 58092, 32562, 115
92, 34587, 34587, 0
93, 58092, 32562, 115
94, 37740, 37740, 0
95, 37740, 37740, 0
96, 62026, 33166, 130
97, 33762, 30876, 13
98, 37740, 37740, 0
99, 37740, 37740, 0
100, 62026, 33166, 130
101, 37740, 37740, 0
102, 33762, 30876, 13
103, 37740, 37740, 0
104, 37296, 34410, 13
105, 37944, 37944, 0
106, 58696, 33166, 115
107, 43512, 37740, 26
108, 37944, 37944, 0
109, 37296, 34410, 13
110, 58696, 33166, 115
111, 43512, 37740, 26
112, 37944, 37944, 0
113, 37740, 37740, 0
114, 37740, 37740, 0
115, 37944, 37944, 0
116, 37740, 37740, 0
117, 37944, 37944, 0
118, 37740, 37740, 0
119, 37740, 37740, 0
120, 37740, 37740, 0
121, 37740, 37740, 0
122, 37740, 37740, 0
123, 37740, 37740, 0
124, 37083, 36639, 2
125, 36392, 32396, 18
126, 48744, 25434, 105
127, 55518, 32208, 105
128, 34308, 32754, 7
129, 52704, 25842, 121
130, 59742, 36432, 105
131, 31170, 25842, 24
132, 59742, 36432, 105
133, 43158, 25842, 78
134, 59742, 36432, 105
135, 59742, 36432, 105
136, 59742, 36432, 105
137, 59742, 36432, 105
138, 46629, 36639, 45
139, 59742, 36432, 105
140, 37083, 36639, 2
141, 37083, 36639, 2
142, 46629, 36639, 45
143, 37083, 36639, 2
144, 59742, 36432, 105
145, 69732, 36432, 150
146, 37083, 36639, 2
147, 37083, 36639, 2
148, 59742, 36432, 105
149, 69732, 36432, 150
150, 59742, 36432, 105
151, 69732, 36432, 150
152, 59742, 36432, 105
153, 59742, 36432, 105
154, 69732, 36432, 150
155, 69732, 36432, 150
156, 59742, 36432, 105
157, 59742, 36432, 105
158, 69732, 36432, 150
159, 59742, 36432, 105
160, 46629, 36639, 45
161, 46629, 36639, 45
162, 59742, 36432, 105
163, 46629, 36639, 45
164, 59742, 36432, 105
165, 46629, 36639, 45
166, 46629, 36639, 45
167, 37083, 36639, 2
168, 59742, 36432, 105
169, 69939, 36639, 150
170, 30429, 30429, 0
171, 59742, 36432, 105
172, 37083, 36639, 2
173, 69939, 36639, 150
174, 69939, 36639, 150
175, 37083, 36639, 2
176, 37083, 36639, 2
177, 37083, 36639, 2
178, 37083, 36639, 2
179, 37083, 36639, 2
180, 37083, 36639, 2
181, 51087, 26445, 111
182, 49582, 30268, 87
183, 68558, 34814, 152
184, 34047, 26055, 36
185, 22207, 20875, 6
186, 29292, 25740, 16
187, 52688, 22496, 136
188, 22207, 20875, 6
189, 22207, 20875, 6
190, 22207, 20875, 6
191, 22207, 20875, 6
192, 28832, 28832, 0
193, 31390, 24064, 33
194, 22207, 20875, 6
