optimum
2500
iteration,score,rawScore,overlap
0, 61157, 49335, 46
1, 52720, 47580, 20
2, 57642, 46848, 42
3, 51515, 46632, 19
4, 79145, 48048, 121
5, 82229, 48048, 133
6, 100118, 45120, 219
7, 54712, 50600, 16
8, 69941, 45269, 96
9, 54712, 50600, 16
10, 54712, 50600, 16
11, 61157, 49335, 46
12, 54712, 50600, 16
13, 61157, 49335, 46
14, 54712, 50600, 16
15, 61157, 49335, 46
16, 54712, 50600, 16
17, 61157, 49335, 46
18, 54712, 50600, 16
19, 54712, 50600, 16
20, 61157, 49335, 46
21, 61157, 49335, 46
22, 54712, 50600, 16
23, 54712, 50600, 16
24, 61157, 49335, 46
25, 61157, 49335, 46
26, 54712, 50600, 16
27, 61157, 49335, 46
28, 54712, 50600, 16
29, 54712, 50600, 16
30, 61157, 49335, 46
31, 61157, 49335, 46
32, 61157, 49335, 46
33, 54712, 50600, 16
34, 54712, 50600, 16
35, 61157, 49335, 46
36, 61157, 49335, 46
37, 54712, 50600, 16
38, 54712, 50600, 16
39, 61157, 49335, 46
40, 61157, 49335, 46
41, 61157, 49335, 46
42, 54712, 50600, 16
43, 61157, 49335, 46
44, 61157, 49335, 46
45, 54712, 50600, 16
46, 54712, 50600, 16
47, 54712, 50600, 16
48, 61157, 49335, 46
49, 54712, 50600, 16
50, 54712, 50600, 16
51, 61157, 49335, 46
52, 61157, 49335, 46
53, 61157, 49335, 46
54, 61157, 49335, 46
55, 61157, 49335, 46
56, 61157, 49335, 46
57, 47477, 47477, 0
58, 75028, 49585, 99
59, 39140, 39140, 0
60, 52830, 47690, 20
61, 66379, 38880, 107
62, 47477, 47477, 0
63, 47477, 47477, 0
64, 45696, 45696, 0
65, 47424, 47424, 0
66, 58271, 47477, 42
67, 50336, 50336, 0
68, 47477, 47477, 0
69, 47477, 47477, 0
70, 50336, 50336, 0
71, 47477, 47477, 0
72, 47477, 47477, 0
73, 47477, 47477, 0
74, 50336, 50336, 0
75, 47477, 47477, 0
76, 47477, 47477, 0
77, 47477, 47477, 0
78, 50336, 50336, 0
79, 47477, 47477, 0
80, 47477, 47477, 0
81, 47477, 47477, 0
82, 47477, 47477, 0
83, 47477, 47477, 0
84, 47477, 47477, 0
85, 47477, 47477, 0
86, 81406, 46968, 134
87, 74202, 45675, 111
88, 53131, 43365, 38
89, 100490, 45492, 223
90, 47008, 47008, 0
91, 62368, 41808, 80
92, 52259, 46605, 22
93, 74427, 45900, 111
94, 80950, 46512, 134
95, 64243, 45225, 74
96, 53860, 49234, 18
97, 74427, 45900, 111
98, 81406, 46968, 134
99, 64243, 45225, 74
100, 74427, 45900, 111
101, 57065, 44472, 49
102, 69176, 48616, 80
103, 74427, 45900, 111
104, 81406, 46968, 134
105, 59316, 43382, 62
106, 74427, 45900, 111
107, 74427, 45900, 111
108, 74427, 45900, 111
109, 74427, 45900, 111
110, 74427, 45900, 111
