x,y,index
0, 0, 7
1, 0, 7
2, 0, 7
3, 0, 7
4, 0, 7
5, 0, 7
6, 0, 7
7, 0, 7
8, 0, 7
9, 0, 7
10, 0, 7
11, 0, 7
12, 0, 7
13, 0, 17
14, 0, 17
15, 0, 17
16, 0, 17
17, 0, 17
18, 0, 2
19, 0, 2
20, 0, 2
21, 0, 2
22, 0, 2
23, 0, 2
24, 0, 2
25, 0, 2
26, 0, 2
27, 0, 2
28, 0, 2
29, 0, 2
30, 0, 2
31, 0, 2
32, 0, 2
33, 0, 2
34, 0, 2
35, 0, 2
36, 0, 2
37, 0, 2
38, 0, 4
39, 0, 4
40, 0, 4
41, 0, 4
42, 0, 4
43, 0, 4
44, 0, 4
45, 0, 4
46, 0, 4
47, 0, 4
48, 0, 4
49, 0, 4
0, 1, 7
1, 1, 7
2, 1, 7
3, 1, 7
4, 1, 7
5, 1, 7
6, 1, 7
7, 1, 7
8, 1, 7
9, 1, 7
10, 1, 7
11, 1, 7
12, 1, 7
13, 1, 17
14, 1, 17
15, 1, 17
16, 1, 17
17, 1, 17
18, 1, 2
19, 1, 2
20, 1, 2
21, 1, 2
22, 1, 2
23, 1, 2
24, 1, 2
25, 1, 2
26, 1, 2
27, 1, 2
28, 1, 2
29, 1, 2
30, 1, 2
31, 1, 2
32, 1, 2
33, 1, 2
34, 1, 2
35, 1, 2
36, 1, 2
37, 1, 2
38, 1, 4
39, 1, 4
40, 1, 4
41, 1, 4
42, 1, 4
43, 1, 4
44, 1, 4
45, 1, 4
46, 1, 4
47, 1, 4
48, 1, 4
49, 1, 4
0, 2, 7
1, 2, 7
2, 2, 7
3, 2, 7
4, 2, 7
5, 2, 7
6, 2, 7
7, 2, 7
8, 2, 7
9, 2, 7
10, 2, 7
11, 2, 7
12, 2, 7
13, 2, 17
14, 2, 17
15, 2, 17
16, 2, 17
17, 2, 17
18, 2, 2
19, 2, 2
20, 2, 2
21, 2, 2
22, 2, 2
23, 2, 2
24, 2, 2
25, 2, 2
26, 2, 2
27, 2, 2
28, 2, 2
29, 2, 2
30, 2, 2
31, 2, 2
32, 2, 2
33, 2, 2
34, 2, 2
35, 2, 2
36, 2, 2
37, 2, 2
38, 2, 4
39, 2, 4
40, 2, 4
41, 2, 4
42, 2, 4
43, 2, 4
44, 2, 4
45, 2, 4
46, 2, 4
47, 2, 4
48, 2, 4
49, 2, 4
0, 3, 7
1, 3, 7
2, 3, 7
3, 3, 7
4, 3, 7
5, 3, 7
6, 3, 7
7, 3, 7
8, 3, 7
9, 3, 7
10, 3, 7
11, 3, 7
12, 3, 7
13, 3, 17
14, 3, 17
15, 3, 17
16, 3, 17
17, 3, 17
18, 3, 2
19, 3, 2
20, 3, 2
21, 3, 2
22, 3, 2
23, 3, 2
24, 3, 2
25, 3, 2
26, 3, 2
27, 3, 2
28, 3, 2
29, 3, 2
30, 3, 2
31, 3, 2
32, 3, 2
33, 3, 2
34, 3, 2
35, 3, 2
36, 3, 2
37, 3, 2
38, 3, 4
39, 3, 4
40, 3, 4
41, 3, 4
42, 3, 4
43, 3, 4
44, 3, 4
45, 3, 4
46, 3, 4
47, 3, 4
48, 3, 4
49, 3, 4
0, 4, 7
1, 4, 7
2, 4, 7
3, 4, 7
4, 4, 7
5, 4, 7
6, 4, 7
7, 4, 7
8, 4, 7
9, 4, 7
10, 4, 7
11, 4, 7
12, 4, 7
13, 4, 17
14, 4, 17
15, 4, 17
16, 4, 17
17, 4, 17
18, 4, 2
19, 4, 2
20, 4, 2
21, 4, 2
22, 4, 2
23, 4, 2
24, 4, 2
25, 4, 2
26, 4, 2
27, 4, 2
28, 4, 2
29, 4, 2
30, 4, 2
31, 4, 2
32, 4, 2
33, 4, 2
34, 4, 2
35, 4, 2
36, 4, 2
37, 4, 2
38, 4, 4
39, 4, 4
40, 4, 4
41, 4, 4
42, 4, 4
43, 4, 4
44, 4, 4
45, 4, 4
46, 4, 4
47, 4, 4
48, 4, 4
49, 4, 4
0, 5, 7
1, 5, 7
2, 5, 7
3, 5, 7
4, 5, 7
5, 5, 7
6, 5, 7
7, 5, 7
8, 5, 7
9, 5, 7
10, 5, 7
11, 5, 7
12, 5, 7
13, 5, 17
14, 5, 17
15, 5, 17
16, 5, 17
17, 5, 17
18, 5, 2
19, 5, 2
20, 5, 2
21, 5, 2
22, 5, 2
23, 5, 2
24, 5, 2
25, 5, 2
26, 5, 2
27, 5, 2
28, 5, 2
29, 5, 2
30, 5, 2
31, 5, 2
32, 5, 2
33, 5, 2
34, 5, 2
35, 5, 2
36, 5, 2
37, 5, 2
38, 5, 4
39, 5, 4
40, 5, 4
41, 5, 4
42, 5, 4
43, 5, 4
44, 5, 4
45, 5, 4
46, 5, 4
47, 5, 4
48, 5, 4
49, 5, 4
0, 6, 7
1, 6, 7
2, 6, 7
3, 6, 7
4, 6, 7
5, 6, 7
6, 6, 7
7, 6, 7
8, 6, 7
9, 6, 7
10, 6, 7
11, 6, 7
12, 6, 7
13, 6, 17
14, 6, 17
15, 6, 17
16, 6, 17
17, 6, 17
18, 6, 2
19, 6, 2
20, 6, 2
21, 6, 2
22, 6, 2
23, 6, 2
24, 6, 2
25, 6, 2
26, 6, 2
27, 6, 2
28, 6, 2
29, 6, 2
30, 6, 2
31, 6, 2
32, 6, 2
33, 6, 2
34, 6, 2
35, 6, 2
36, 6, 2
37, 6, 2
38, 6, 4
39, 6, 4
40, 6, 4
41, 6, 4
42, 6, 4
43, 6, 4
44, 6, 4
45, 6, 4
46, 6, 4
47, 6, 4
48, 6, 4
49, 6, 4
0, 7, 7
1, 7, 7
2, 7, 7
3, 7, 7
4, 7, 7
5, 7, 7
6, 7, 7
7, 7, 7
8, 7, 7
9, 7, 7
10, 7, 7
11, 7, 7
12, 7, 7
13, 7, 17
14, 7, 17
15, 7, 17
16, 7, 17
17, 7, 17
18, 7, 2
19, 7, 2
20, 7, 2
21, 7, 2
22, 7, 2
23, 7, 2
24, 7, 2
25, 7, 2
26, 7, 2
27, 7, 2
28, 7, 2
29, 7, 2
30, 7, 2
31, 7, 2
32, 7, 2
33, 7, 2
34, 7, 2
35, 7, 2
36, 7, 2
37, 7, 2
38, 7, 4
39, 7, 4
40, 7, 4
41, 7, 4
42, 7, 4
43, 7, 4
44, 7, 4
45, 7, 4
46, 7, 4
47, 7, 4
48, 7, 4
49, 7, 4
0, 8, 7
1, 8, 7
2, 8, 7
3, 8, 7
4, 8, 7
5, 8, 7
6, 8, 7
7, 8, 7
8, 8, 7
9, 8, 7
10, 8, 7
11, 8, 7
12, 8, 7
13, 8, 17
14, 8, 17
15, 8, 17
16, 8, 17
17, 8, 17
18, 8, 2
19, 8, 2
20, 8, 2
21, 8, 2
22, 8, 2
23, 8, 2
24, 8, 2
25, 8, 2
26, 8, 2
27, 8, 2
28, 8, 2
29, 8, 2
30, 8, 2
31, 8, 2
32, 8, 2
33, 8, 2
34, 8, 2
35, 8, 2
36, 8, 2
37, 8, 2
38, 8, 4
39, 8, 4
40, 8, 4
41, 8, 4
42, 8, 4
43, 8, 4
44, 8, 4
45, 8, 4
46, 8, 4
47, 8, 4
48, 8, 4
49, 8, 4
0, 9, 7
1, 9, 7
2, 9, 7
3, 9, 7
4, 9, 7
5, 9, 7
6, 9, 7
7, 9, 7
8, 9, 7
9, 9, 7
10, 9, 7
11, 9, 7
12, 9, 7
13, 9, 17
14, 9, 17
15, 9, 17
16, 9, 17
17, 9, 17
18, 9, 2
19, 9, 2
20, 9, 2
21, 9, 2
22, 9, 2
23, 9, 2
24, 9, 2
25, 9, 2
26, 9, 2
27, 9, 2
28, 9, 2
29, 9, 2
30, 9, 2
31, 9, 2
32, 9, 2
33, 9, 2
34, 9, 2
35, 9, 2
36, 9, 2
37, 9, 2
38, 9, 4
39, 9, 4
40, 9, 4
41, 9, 4
42, 9, 4
43, 9, 4
44, 9, 4
45, 9, 4
46, 9, 4
47, 9, 4
48, 9, 4
49, 9, 4
0, 10, 7
1, 10, 7
2, 10, 7
3, 10, 7
4, 10, 7
5, 10, 7
6, 10, 7
7, 10, 7
8, 10, 7
9, 10, 7
10, 10, 7
11, 10, 7
12, 10, 7
13, 10, 17
14, 10, 17
15, 10, 17
16, 10, 17
17, 10, 17
18, 10, 2
19, 10, 2
20, 10, 2
21, 10, 2
22, 10, 2
23, 10, 2
24, 10, 2
25, 10, 2
26, 10, 2
27, 10, 2
28, 10, 2
29, 10, 2
30, 10, 2
31, 10, 2
32, 10, 2
33, 10, 2
34, 10, 2
35, 10, 2
36, 10, 2
37, 10, 2
38, 10, 4
39, 10, 4
40, 10, 4
41, 10, 4
42, 10, 4
43, 10, 4
44, 10, 4
45, 10, 4
46, 10, 4
47, 10, 4
48, 10, 4
49, 10, 4
0, 11, 7
1, 11, 7
2, 11, 7
3, 11, 7
4, 11, 7
5, 11, 7
6, 11, 7
7, 11, 7
8, 11, 7
9, 11, 7
10, 11, 7
11, 11, 7
12, 11, 7
13, 11, 17
14, 11, 17
15, 11, 17
16, 11, 17
17, 11, 17
18, 11, 2
19, 11, 2
20, 11, 2
21, 11, 2
22, 11, 2
23, 11, 2
24, 11, 2
25, 11, 2
26, 11, 2
27, 11, 2
28, 11, 2
29, 11, 2
30, 11, 2
31, 11, 2
32, 11, 2
33, 11, 2
34, 11, 2
35, 11, 2
36, 11, 2
37, 11, 2
38, 11, 4
39, 11, 4
40, 11, 4
41, 11, 4
42, 11, 4
43, 11, 4
44, 11, 4
45, 11, 4
46, 11, 4
47, 11, 4
48, 11, 4
49, 11, 4
0, 12, 7
1, 12, 7
2, 12, 7
3, 12, 7
4, 12, 7
5, 12, 7
6, 12, 7
7, 12, 7
8, 12, 7
9, 12, 7
10, 12, 7
11, 12, 7
12, 12, 7
13, 12, 17
14, 12, 17
15, 12, 17
16, 12, 17
17, 12, 17
18, 12, 2
19, 12, 2
20, 12, 2
21, 12, 2
22, 12, 2
23, 12, 2
24, 12, 2
25, 12, 2
26, 12, 2
27, 12, 2
28, 12, 2
29, 12, 2
30, 12, 2
31, 12, 2
32, 12, 2
33, 12, 2
34, 12, 2
35, 12, 2
36, 12, 2
37, 12, 2
38, 12, 4
39, 12, 4
40, 12, 4
41, 12, 4
42, 12, 4
43, 12, 4
44, 12, 4
45, 12, 4
46, 12, 4
47, 12, 4
48, 12, 4
49, 12, 4
0, 13, 7
1, 13, 7
2, 13, 7
3, 13, 7
4, 13, 7
5, 13, 7
6, 13, 7
7, 13, 7
8, 13, 7
9, 13, 7
10, 13, 7
11, 13, 7
12, 13, 7
13, 13, 17
14, 13, 17
15, 13, 17
16, 13, 17
17, 13, 17
18, 13, 2
19, 13, 2
20, 13, 2
21, 13, 2
22, 13, 2
23, 13, 2
24, 13, 2
25, 13, 2
26, 13, 2
27, 13, 2
28, 13, 2
29, 13, 2
30, 13, 2
31, 13, 2
32, 13, 2
33, 13, 2
34, 13, 2
35, 13, 2
36, 13, 2
37, 13, 2
38, 13, 4
39, 13, 4
40, 13, 4
41, 13, 4
42, 13, 4
43, 13, 4
44, 13, 4
45, 13, 4
46, 13, 4
47, 13, 4
48, 13, 4
49, 13, 4
0, 14, 7
1, 14, 7
2, 14, 7
3, 14, 7
4, 14, 7
5, 14, 7
6, 14, 7
7, 14, 7
8, 14, 7
9, 14, 7
10, 14, 7
11, 14, 7
12, 14, 7
13, 14, 17
14, 14, 17
15, 14, 17
16, 14, 17
17, 14, 17
18, 14, 2
19, 14, 2
20, 14, 2
21, 14, 2
22, 14, 2
23, 14, 2
24, 14, 2
25, 14, 2
26, 14, 2
