x,y,index
16, 16, 0
17, 16, 0
18, 16, 0
19, 16, 0
16, 17, 0
17, 17, 0
18, 17, 0
19, 17, 0
16, 18, 0
17, 18, 0
18, 18, 0
19, 18, 0
27, 6, 1
28, 6, 1
29, 6, 1
30, 6, 1
31, 6, 1
32, 6, 1
33, 6, 1
28, 9, 2
29, 9, 2
30, 9, 2
31, 9, 2
28, 10, 2
29, 10, 2
30, 10, 2
31, 10, 2
28, 11, 2
29, 11, 2
30, 11, 2
31, 11, 2
28, 12, 2
29, 12, 2
30, 12, 2
31, 12, 2
28, 13, 2
29, 13, 2
30, 13, 2
31, 13, 2
28, 14, 2
29, 14, 2
30, 14, 2
31, 14, 2
7, 9, 3
8, 9, 3
7, 10, 3
8, 10, 3
7, 11, 3
8, 11, 3
7, 12, 3
8, 12, 3
7, 13, 3
8, 13, 3
7, 14, 3
8, 14, 3
12, 14, 4
13, 14, 4
14, 14, 4
15, 14, 4
12, 15, 4
13, 15, 4
14, 15, 4
15, 15, 4
12, 8, 5
13, 8, 5
14, 8, 5
15, 8, 5
12, 9, 5
13, 9, 5
14, 9, 5
15, 9, 5
12, 10, 5
13, 10, 5
14, 10, 5
15, 10, 5
12, 11, 5
13, 11, 5
14, 11, 5
15, 11, 5
12, 12, 5
13, 12, 5
14, 12, 5
15, 12, 5
10, 7, 6
11, 7, 6
12, 7, 6
18, 7, 7
19, 7, 7
20, 7, 7
21, 7, 7
22, 7, 7
23, 7, 7
29, 18, 8
30, 18, 8
29, 19, 8
30, 19, 8
22, 17, 9
23, 17, 9
24, 17, 9
25, 17, 9
