optimum
2500
iteration,score,rawScore,overlap
0, 29583, 29583, 0
1, 46770, 35226, 52
2, 41306, 32648, 39
3, 65594, 23858, 190
4, 45890, 21470, 110
5, 70424, 28688, 213
6, 53124, 33366, 89
7, 30177, 25515, 21
8, 56432, 39560, 76
9, 35376, 25830, 43
10, 45489, 32391, 59
11, 26293, 24073, 10
12, 43132, 27370, 71
13, 76736, 35000, 285
14, 65058, 35088, 135
15, 67712, 25976, 306
16, 35442, 35442, 0
17, 32600, 32600, 0
18, 38917, 25597, 60
19, 23532, 22644, 4
20, 35800, 35800, 0
21, 25005, 23895, 5
22, 40011, 24915, 68
23, 48546, 23016, 115
24, 42567, 35685, 31
25, 47124, 37800, 42
26, 31275, 24393, 31
27, 68386, 26650, 306
28, 22512, 22512, 0
29, 27238, 26128, 5
30, 41124, 31800, 42
31, 22440, 22440, 0
32, 69736, 28000, 274
33, 47392, 35404, 54
34, 30812, 21488, 42
35, 29463, 29463, 0
36, 35910, 35910, 0
37, 27406, 27406, 0
38, 38288, 24080, 64
39, 41514, 29748, 53
40, 46556, 39008, 34
41, 42380, 31724, 48
42, 43664, 34340, 42
43, 36135, 30807, 24
44, 43503, 28851, 66
45, 36768, 27000, 44
46, 64506, 36312, 127
47, 49905, 29925, 90
48, 23440, 18334, 23
49, 69377, 27641, 266
50, 28674, 28674, 0
51, 57915, 31941, 117
52, 58434, 16698, 440
53, 71480, 29744, 241
54, 62022, 20286, 201
55, 73710, 31974, 237
56, 38794, 18370, 92
57, 33099, 33099, 0
58, 41329, 33115, 37
59, 53776, 12040, 308
60, 30747, 28305, 11
61, 41412, 31200, 46
62, 32656, 29992, 12
63, 41541, 33327, 37
64, 37558, 37558, 0
65, 42942, 24072, 85
66, 49953, 24645, 114
67, 18189, 18189, 0
68, 19212, 16104, 14
69, 33974, 15326, 84
70, 28236, 28236, 0
71, 51365, 30275, 95
72, 58581, 30609, 126
73, 24278, 23168, 5
74, 22116, 17898, 19
75, 34011, 25575, 38
76, 39768, 30000, 44
77, 51080, 25550, 115
78, 57594, 29400, 127
79, 42566, 39458, 14
80, 55841, 14105, 215
81, 55356, 28050, 123
82, 35577, 35577, 0
83, 72795, 31059, 225
84, 60948, 27648, 150
85, 21164, 20720, 2
86, 35784, 29568, 28
87, 48426, 30888, 79
88, 30030, 30030, 0
89, 27387, 27387, 0
90, 34362, 34362, 0
91, 22370, 19040, 15
92, 69267, 27531, 218
93, 46468, 21160, 114
94, 32028, 32028, 0
95, 37791, 26469, 51
96, 53753, 25781, 126
