optimum
100
iteration,score,rawScore,overlap
0, 1022, 782, 6
1, 1215, 975, 6
2, 976, 816, 4
3, 1038, 918, 3
4, 956, 836, 3
5, 1112, 832, 7
6, 1144, 864, 7
7, 780, 780, 0
8, 836, 756, 2
9, 971, 891, 2
10, 798, 798, 0
11, 825, 665, 4
12, 1415, 775, 16
13, 952, 912, 1
14, 1060, 540, 13
15, 1080, 680, 10
16, 954, 874, 2
17, 754, 754, 0
18, 888, 888, 0
19, 805, 805, 0
20, 975, 975, 0
21, 776, 696, 2
22, 690, 690, 0
23, 936, 576, 9
24, 1097, 777, 8
25, 972, 972, 0
26, 899, 819, 2
27, 1255, 775, 12
28, 1026, 1026, 0
29, 1135, 775, 9
30, 834, 714, 3
31, 839, 759, 2
32, 973, 693, 7
33, 1045, 805, 6
34, 1095, 975, 3
35, 1611, 851, 19
36, 1134, 814, 8
37, 943, 783, 4
38, 1034, 874, 4
39, 782, 782, 0
40, 805, 725, 2
41, 828, 588, 6
42, 862, 702, 4
43, 836, 836, 0
44, 970, 850, 3
45, 1289, 609, 17
46, 579, 459, 3
47, 984, 864, 3
48, 976, 736, 6
49, 952, 672, 7
50, 968, 888, 2
51, 702, 702, 0
52, 999, 999, 0
53, 1016, 816, 5
54, 800, 760, 1
55, 905, 825, 2
56, 845, 525, 8
57, 1042, 962, 2
58, 1022, 782, 6
59, 1315, 675, 16
60, 1070, 910, 4
61, 1160, 800, 9
62, 1072, 912, 4
63, 760, 560, 5
64, 1090, 770, 8
65, 810, 770, 1
66, 627, 627, 0
67, 1258, 858, 10
68, 712, 672, 1
69, 726, 646, 2
70, 1032, 912, 3
71, 660, 620, 1
72, 802, 522, 7
73, 976, 936, 1
74, 864, 864, 0
75, 570, 570, 0
76, 868, 748, 3
77, 910, 910, 0
78, 988, 748, 6
79, 834, 714, 3
80, 736, 616, 3
81, 660, 460, 5
82, 1094, 1014, 2
83, 1095, 775, 8
84, 782, 782, 0
85, 1440, 840, 15
86, 760, 680, 2
87, 1072, 912, 4
88, 938, 858, 2
89, 840, 680, 4
90, 930, 690, 6
91, 1251, 891, 9
92, 1266, 1026, 6
93, 940, 780, 4
94, 888, 888, 0
95, 1122, 962, 4
96, 925, 925, 0
97, 1335, 975, 9
98, 766, 726, 1
99, 936, 936, 0
100, 1360, 720, 16
101, 1114, 874, 6
102, 1050, 690, 9
103, 888, 888, 0
104, 794, 714, 2
105, 1010, 690, 8
106, 828, 828, 0
107, 872, 792, 2
108, 777, 777, 0
109, 1426, 546, 22
110, 790, 750, 1
111, 1055, 775, 7
112, 940, 620, 8
113, 1152, 792, 9
114, 1135, 975, 4
115, 1053, 1053, 0
116, 936, 696, 6
117, 1042, 962, 2
118, 1404, 684, 18
119, 771, 651, 3
120, 858, 858, 0
121, 882, 722, 4
122, 1008, 768, 6
123, 993, 713, 7
124, 703, 703, 0
125, 1346, 1026, 8
126, 1206, 806, 10
127, 1774, 1014, 19
128, 1025, 945, 2
129, 1272, 832, 11
130, 844, 644, 5
131, 1194, 594, 15
132, 1064, 864, 5
133, 586, 546, 1
134, 1030, 910, 3
135, 1024, 864, 4
136, 1328, 768, 14
137, 1251, 851, 10
138, 760, 600, 4
139, 840, 840, 0
140, 872, 672, 5
141, 1060, 900, 4
142, 1331, 851, 12
143, 884, 884, 0
144, 916, 756, 4
145, 792, 792, 0
146, 764, 684, 2
147, 759, 759, 0
148, 725, 725, 0
149, 900, 540, 9
150, 770, 770, 0
151, 1016, 936, 2
152, 936, 936, 0
153, 953, 713, 6
154, 706, 506, 5
155, 840, 800, 1
156, 944, 744, 5
157, 655, 575, 2
158, 1135, 975, 4
159, 1152, 672, 12
160, 860, 780, 2
161, 735, 735, 0
162, 891, 651, 6
163, 860, 540, 8
164, 1068, 828, 6
165, 864, 864, 0
166, 566, 486, 2
167, 1009, 729, 7
168, 560, 560, 0
169, 1140, 540, 15
170, 864, 864, 0
171, 1084, 644, 11
172, 790, 750, 1
173, 1016, 936, 2
174, 684, 684, 0
175, 1045, 805, 6
176, 800, 760, 1
177, 968, 888, 2
178, 916, 836, 2
179, 888, 888, 0
180, 1137, 897, 6
181, 840, 840, 0
182, 870, 750, 3
183, 1070, 630, 11
184, 1051, 851, 5
185, 816, 616, 5
186, 970, 650, 8
187, 1257, 897, 9
188, 960, 720, 6
189, 722, 722, 0
190, 610, 490, 3
191, 945, 945, 0
192, 845, 725, 3
193, 740, 660, 2
194, 968, 888, 2
195, 729, 729, 0
196, 999, 999, 0
197, 1039, 999, 1
198, 1122, 962, 4
199, 1054, 1014, 1
200, 1362, 962, 10
201, 970, 770, 5
202, 969, 729, 6
203, 1012, 572, 11
204, 912, 912, 0
205, 1270, 910, 9
206, 950, 950, 0
207, 1295, 975, 8
208, 977, 897, 2
209, 875, 875, 0
210, 1051, 891, 4
211, 1110, 550, 14
212, 962, 962, 0
213, 714, 714, 0
214, 918, 918, 0
215, 896, 816, 2
216, 1420, 900, 13
217, 750, 750, 0
218, 615, 575, 1
219, 895, 775, 3
220, 945, 945, 0
221, 1051, 891, 4
222, 782, 782, 0
223, 1051, 891, 4
224, 856, 736, 3
225, 823, 783, 1
226, 1140, 780, 9
227, 682, 682, 0
228, 994, 754, 6
229, 1056, 936, 3
230, 1010, 850, 4
231, 1000, 720, 7
232, 884, 884, 0
233, 1060, 900, 4
234, 1024, 704, 8
235, 1060, 900, 4
236, 1096, 936, 4
237, 980, 900, 2
238, 992, 792, 5
239, 810, 770, 1
240, 688, 528, 4
241, 840, 840, 0
242, 780, 780, 0
243, 992, 912, 2
244, 988, 988, 0
245, 910, 910, 0
246, 895, 775, 3
247, 1034, 874, 4
248, 1014, 1014, 0
249, 848, 608, 6
250, 842, 522, 8
251, 938, 858, 2
252, 1475, 875, 15
253, 945, 945, 0
254, 945, 825, 3
255, 1291, 891, 10
256, 1326, 646, 17
257, 718, 558, 4
258, 690, 690, 0
259, 1504, 864, 16
260, 1293, 693, 15
261, 950, 950, 0
262, 805, 805, 0
263, 770, 770, 0
264, 862, 702, 4
265, 782, 782, 0
266, 1057, 897, 4
267, 982, 782, 5
268, 844, 684, 4
269, 1032, 832, 5
270, 1030, 950, 2
271, 960, 600, 9
272, 900, 900, 0
273, 1164, 884, 7
274, 898, 858, 1
275, 874, 874, 0
276, 864, 864, 0
277, 1265, 825, 11
278, 1050, 810, 6
279, 860, 740, 3
280, 1045, 925, 3
281, 1255, 775, 12
282, 816, 816, 0
283, 950, 950, 0
284, 1022, 782, 6
285, 1192, 792, 10
286, 756, 756, 0
287, 976, 936, 1
288, 759, 759, 0
289, 1011, 851, 4
290, 1058, 858, 5
291, 1210, 850, 9
292, 902, 702, 5
293, 556, 476, 2
294, 1293, 1053, 6
295, 790, 630, 4
296, 984, 864, 3
297, 836, 836, 0
298, 810, 770, 1
299, 1165, 805, 9
300, 660, 660, 0
301, 758, 638, 3
302, 885, 725, 4
303, 846, 806, 1
304, 1013, 693, 8
305, 1228, 988, 6
306, 890, 650, 6
307, 1040, 720, 8
308, 942, 782, 4
309, 924, 884, 1
310, 766, 646, 3
311, 1072, 912, 4
312, 1131, 891, 6
313, 630, 510, 3
314, 1186, 1026, 4
315, 1086, 806, 7
316, 1105, 945, 4
317, 998, 638, 9
318, 1016, 816, 5
319, 1236, 676, 14
320, 1035, 875, 4
321, 1026, 1026, 0
322, 1060, 900, 4
323, 936, 816, 3
324, 976, 816, 4
325, 1024, 864, 4
326, 928, 728, 5
327, 702, 702, 0
328, 995, 875, 3
329, 992, 792, 5
330, 1285, 925, 9
331, 895, 775, 3
332, 735, 735, 0
333, 1224, 744, 12
334, 1024, 864, 4
335, 710, 630, 2
336, 828, 828, 0
337, 780, 700, 2
338, 768, 768, 0
339, 720, 720, 0
340, 736, 736, 0
341, 936, 936, 0
342, 864, 864, 0
343, 1005, 925, 2
344, 890, 850, 1
345, 1028, 828, 5
346, 912, 912, 0
347, 900, 900, 0
348, 972, 972, 0
349, 1038, 918, 3
350, 783, 783, 0
351, 754, 594, 4
352, 962, 722, 6
353, 997, 837, 4
354, 968, 888, 2
355, 1085, 925, 4
356, 930, 690, 6
357, 832, 792, 1
358, 1225, 945, 7
359, 1068, 988, 2
360, 1376, 576, 20
361, 922, 722, 5
362, 879, 759, 3
363, 716, 476, 6
364, 1092, 972, 3
365, 664, 624, 1
366, 800, 680, 3
367, 1250, 770, 12
368, 1010, 770, 6
369, 862, 702, 4
370, 796, 756, 1
371, 766, 646, 3
372, 1176, 736, 11
373, 1048, 528, 13
374, 628, 588, 1
375, 813, 693, 3
376, 845, 805, 1
377, 1000, 840, 4
378, 920, 840, 2
379, 1064, 864, 5
380, 1149, 629, 13
381, 872, 792, 2
382, 822, 782, 1
383, 1096, 936, 4
384, 630, 630, 0
385, 960, 600, 9
386, 1028, 828, 5
387, 864, 864, 0
388, 648, 408, 6
389, 912, 912, 0
390, 1183, 783, 10
391, 726, 726, 0
392, 1319, 999, 8
393, 1122, 962, 4
394, 1440, 760, 17
395, 520, 520, 0
396, 988, 988, 0
397, 840, 720, 3
398, 830, 750, 2
399, 905, 825, 2
400, 920, 840, 2
401, 925, 805, 3
402, 925, 925, 0
403, 772, 572, 5
404, 790, 510, 7
405, 703, 703, 0
406, 1048, 768, 7
407, 792, 792, 0
408, 969, 609, 9
409, 933, 693, 6
410, 768, 608, 4
411, 1116, 756, 9
412, 966, 806, 4
413, 850, 770, 2
414, 960, 640, 8
415, 1365, 725, 16
416, 1200, 840, 9
417, 970, 850, 3
418, 992, 832, 4
419, 833, 713, 3
420, 792, 672, 3
421, 755, 675, 2
422, 650, 650, 0
423, 972, 972, 0
424, 775, 575, 5
425, 1010, 770, 6
426, 713, 513, 5
427, 1208, 768, 11
428, 752, 672, 2
429, 1110, 910, 5
430, 772, 532, 6
431, 984, 504, 12
432, 1042, 962, 2
433, 670, 510, 4
434, 972, 972, 0
435, 825, 825, 0
436, 840, 840, 0
437, 780, 460, 8
438, 900, 900, 0
439, 988, 828, 4
440, 776, 696, 2
441, 970, 690, 7
442, 1133, 1053, 2
443, 936, 936, 0
444, 1056, 576, 12
445, 960, 600, 9
446, 775, 775, 0
447, 652, 612, 1
448, 1384, 624, 19
449, 898, 858, 1
450, 560, 560, 0
451, 1108, 828, 7
452, 858, 858, 0
453, 1148, 748, 10
454, 1295, 775, 13
455, 820, 460, 9
456, 1080, 840, 6
457, 777, 777, 0
458, 1011, 891, 3
459, 1173, 693, 12
460, 1054, 1014, 1
461, 741, 621, 3
462, 888, 888, 0
463, 1156, 756, 10
464, 773, 693, 2
465, 864, 864, 0
466, 1314, 754, 14
467, 1150, 910, 6
468, 1314, 754, 14
469, 652, 572, 2
470, 728, 728, 0
471, 910, 910, 0
472, 648, 608, 1
473, 1126, 646, 12
474, 722, 722, 0
475, 924, 884, 1
476, 904, 864, 1
477, 920, 800, 3
478, 925, 925, 0
479, 1130, 650, 12
480, 805, 805, 0
481, 934, 814, 3
482, 1304, 864, 11
483, 682, 682, 0
484, 908, 828, 2
485, 766, 646, 3
486, 1046, 726, 8
487, 976, 736, 6
488, 834, 714, 3
489, 988, 468, 13
490, 875, 875, 0
491, 935, 735, 5
492, 1245, 925, 8
493, 1144, 864, 7
494, 925, 805, 3
495, 896, 816, 2
496, 1166, 726, 11
497, 1032, 792, 6
498, 856, 736, 3
499, 944, 864, 2
500, 900, 900, 0
501, 777, 777, 0
502, 891, 851, 1
503, 1119, 999, 3
504, 792, 792, 0
505, 484, 324, 4
506, 1094, 814, 7
507, 768, 768, 0
508, 910, 910, 0
509, 972, 972, 0
510, 976, 816, 4
511, 1160, 640, 13
512, 836, 836, 0
513, 851, 851, 0
514, 990, 750, 6
515, 888, 888, 0
