x,y,index
0, 0, 0
1, 0, 0
2, 0, 0
3, 0, 0
0, 1, 0
1, 1, 0
2, 1, 0
3, 1, 0
0, 2, 0
1, 2, 0
2, 2, 0
3, 2, 0
7, 2, 9
8, 2, 9
9, 2, 9
10, 2, 9
4, 3, 2
5, 3, 2
6, 3, 2
7, 3, 2
4, 4, 2
5, 4, 2
6, 4, 2
7, 4, 2
4, 5, 2
5, 5, 2
6, 5, 2
7, 5, 2
4, 6, 2
5, 6, 2
6, 6, 2
7, 6, 2
4, 7, 2
5, 7, 2
6, 7, 2
7, 7, 2
4, 8, 2
5, 8, 2
6, 8, 2
7, 8, 2
4, 0, 1
5, 0, 1
6, 0, 1
7, 0, 1
8, 0, 1
9, 0, 1
10, 0, 1
4, 2, 6
5, 2, 6
6, 2, 6
9, 6, 4
10, 6, 4
11, 6, 4
12, 6, 4
9, 7, 4
10, 7, 4
11, 7, 4
12, 7, 4
4, 1, 7
5, 1, 7
6, 1, 7
7, 1, 7
8, 1, 7
9, 1, 7
8, 4, 8
9, 4, 8
8, 5, 8
9, 5, 8
0, 3, 5
1, 3, 5
2, 3, 5
3, 3, 5
0, 4, 5
1, 4, 5
2, 4, 5
3, 4, 5
0, 5, 5
1, 5, 5
2, 5, 5
3, 5, 5
0, 6, 5
1, 6, 5
2, 6, 5
3, 6, 5
0, 7, 5
1, 7, 5
2, 7, 5
3, 7, 5
11, 0, 3
12, 0, 3
11, 1, 3
12, 1, 3
11, 2, 3
12, 2, 3
11, 3, 3
12, 3, 3
11, 4, 3
12, 4, 3
11, 5, 3
12, 5, 3
