optimum
2500
iteration,score,rawScore,overlap
0, 8424, 8424, 0
1, 6700, 6700, 0
2, 7326, 7326, 0
3, 6804, 6804, 0
4, 6745, 6745, 0
5, 6840, 6840, 0
6, 7569, 7569, 0
7, 6900, 6900, 0
8, 7040, 7040, 0
9, 7626, 7626, 0
10, 7590, 7590, 0
11, 7138, 7138, 0
12, 7084, 7084, 0
13, 6512, 6512, 0
14, 6600, 6600, 0
15, 9522, 9522, 0
16, 8342, 8342, 0
17, 6930, 6930, 0
18, 7128, 7128, 0
19, 6561, 6561, 0
20, 4845, 4845, 0
21, 9702, 9702, 0
22, 7832, 7832, 0
23, 6478, 6478, 0
24, 6966, 6966, 0
25, 8364, 8364, 0
26, 8280, 8280, 0
27, 10050, 10050, 0
28, 8395, 8395, 0
29, 8080, 8080, 0
30, 8446, 8446, 0
31, 6402, 6402, 0
32, 5476, 5476, 0
33, 6804, 6804, 0
34, 9328, 9328, 0
35, 9047, 9047, 0
36, 7728, 7728, 0
37, 7644, 7644, 0
38, 6327, 6327, 0
39, 6713, 6713, 0
40, 9512, 9512, 0
41, 7350, 7350, 0
42, 8960, 8960, 0
43, 9360, 9360, 0
44, 6120, 6120, 0
45, 6174, 6174, 0
46, 6789, 6789, 0
47, 6177, 6177, 0
48, 14017, 14017, 0
49, 7931, 7931, 0
50, 8190, 8190, 0
51, 7140, 7140, 0
52, 7488, 7488, 0
53, 6512, 6512, 0
54, 6438, 6438, 0
55, 7480, 7480, 0
56, 6873, 6873, 0
57, 6600, 6600, 0
58, 6840, 6840, 0
59, 6035, 6035, 0
60, 7820, 7820, 0
61, 5538, 5538, 0
62, 7728, 7728, 0
63, 6848, 6848, 0
64, 7632, 7632, 0
65, 8470, 8470, 0
66, 5856, 5856, 0
67, 6210, 6210, 0
68, 7224, 7224, 0
69, 7320, 7320, 0
70, 7935, 7935, 0
71, 6552, 6552, 0
72, 7917, 7917, 0
73, 7776, 7776, 0
74, 6642, 6642, 0
75, 5671, 5671, 0
76, 6408, 6408, 0
77, 8961, 8961, 0
78, 6405, 6405, 0
79, 6486, 6486, 0
80, 10100, 10100, 0
81, 6885, 6885, 0
82, 7650, 7650, 0
83, 6160, 6160, 0
84, 5395, 5395, 0
85, 6808, 6808, 0
86, 8023, 8023, 0
87, 8008, 8008, 0
88, 8036, 8036, 0
89, 7052, 7052, 0
90, 8268, 8268, 0
91, 9540, 9540, 0
92, 6032, 6032, 0
93, 6552, 6552, 0
94, 6512, 6512, 0
95, 9024, 9024, 0
96, 10370, 10370, 0
97, 6996, 6996, 0
98, 7171, 7171, 0
99, 7150, 7150, 0
100, 7728, 7728, 0
101, 8378, 8378, 0
102, 8050, 8050, 0
103, 5963, 5963, 0
104, 6160, 6160, 0
105, 6882, 6882, 0
106, 8775, 8775, 0
107, 6696, 6696, 0
108, 7371, 7371, 0
109, 6000, 6000, 0
110, 9135, 9135, 0
111, 6525, 6525, 0
112, 8360, 8360, 0
113, 10593, 10593, 0
114, 8051, 8051, 0
115, 6320, 6320, 0
116, 7050, 7050, 0
117, 5904, 5904, 0
118, 8888, 8888, 0
119, 7544, 7544, 0
120, 7150, 7150, 0
121, 6232, 6232, 0
122, 6408, 6408, 0
123, 8910, 8910, 0
124, 8450, 8450, 0
125, 6084, 6084, 0
126, 7777, 7777, 0
127, 5390, 5390, 0
128, 5920, 5920, 0
129, 7553, 7553, 0
130, 7739, 7739, 0
131, 7280, 7280, 0
132, 6715, 6715, 0
133, 7820, 7820, 0
134, 8448, 8448, 0
135, 6557, 6557, 0
136, 8778, 8778, 0
137, 5600, 5600, 0
138, 7546, 7546, 0
139, 9792, 9792, 0
140, 8325, 8325, 0
141, 8075, 8075, 0
142, 6972, 6972, 0
143, 9879, 9879, 0
144, 7452, 7452, 0
145, 6035, 6035, 0
146, 7788, 7788, 0
147, 5680, 5680, 0
148, 6688, 6688, 0
149, 8554, 8554, 0
150, 7189, 7189, 0
151, 10230, 10230, 0
152, 7396, 7396, 0
153, 7176, 7176, 0
154, 6966, 6966, 0
155, 5694, 5694, 0
156, 6612, 6612, 0
157, 6080, 6080, 0
158, 6478, 6478, 0
159, 6500, 6500, 0
160, 6776, 6776, 0
161, 6970, 6970, 0
162, 7425, 7425, 0
163, 7918, 7918, 0
164, 8463, 8463, 0
165, 6972, 6972, 0
166, 5346, 5346, 0
167, 5762, 5762, 0
168, 7548, 7548, 0
169, 10302, 10302, 0
170, 7828, 7828, 0
171, 6912, 6912, 0
172, 6767, 6767, 0
173, 7980, 7980, 0
174, 7410, 7410, 0
175, 8162, 8162, 0
176, 7566, 7566, 0
177, 6786, 6786, 0
178, 6460, 6460, 0
179, 6396, 6396, 0
180, 7392, 7392, 0
181, 6723, 6723, 0
182, 5848, 5848, 0
183, 6640, 6640, 0
184, 7840, 7840, 0
185, 7560, 7560, 0
186, 5676, 5676, 0
187, 7865, 7865, 0
188, 7304, 7304, 0
189, 6348, 6348, 0
190, 6486, 6486, 0
191, 6720, 6720, 0
192, 5994, 5994, 0
193, 7194, 7194, 0
194, 8930, 8930, 0
195, 7310, 7310, 0
196, 7738, 7738, 0
197, 6794, 6794, 0
198, 10695, 10695, 0
199, 7081, 7081, 0
200, 6045, 6045, 0
201, 5104, 5104, 0
202, 6231, 6231, 0
203, 7938, 7938, 0
204, 8400, 8400, 0
205, 8160, 8160, 0
206, 9164, 9164, 0
207, 6674, 6674, 0
208, 7476, 7476, 0
209, 6936, 6936, 0
210, 8034, 8034, 0
211, 7260, 7260, 0
212, 6468, 6468, 0
213, 6006, 6006, 0
214, 7098, 7098, 0
215, 7548, 7548, 0
216, 8190, 8190, 0
217, 7424, 7424, 0
218, 7623, 7623, 0
219, 7878, 7878, 0
220, 7007, 7007, 0
221, 6534, 6534, 0
222, 8056, 8056, 0
223, 6432, 6432, 0
224, 5904, 5904, 0
225, 6417, 6417, 0
226, 5508, 5508, 0
